resolver,model_tier,model,inst_id,conflict_type,n_sources,known,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd,run_utc
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jumanah Essa-Hadad,mixed,2,1,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.00182375,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Martin Lambie-Nairn,mixed,2,1,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.002022,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Lord William Hamilton,mixed,2,0,0,0,0,,,"Emma, Lady Hamilton","Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.002112,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Eliezer Calo,mixed,2,0,0,0,0,,,MIT Department of Materials Science and Engineering,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.003092,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Denis Poix-Daude,mixed,2,1,1,0,0,,,Conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.00230875,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Michael Mylonas,mixed,2,1,0,0,0,,,Judge of the Supreme Court of Western Australia,King's Counsel,member of the European Parliament,0.0031145,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,François Carquet,mixed,2,0,1,0,0,,,France,France,Ayutthaya Kingdom,0.0014695,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Wenqing He,mixed,2,1,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.001286,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Gomorrah,mixed,2,1,1,0,0,1,,Critics' Choice Movie Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.0022135,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Wuilmen Bravo,mixed,2,1,1,0,0,,,JHS Aves,JHS Aves,Grays Athletic F.C.,0.0033415,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,1,0,0,,,Sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,vicar apostolic,0.00395725,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Shinzu,mixed,2,1,1,0,0,,,Hamamatsu,Hamamatsu,Roman Catholic Diocese of Tui-Vigo,0.00242075,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Luwamo Garcia,mixed,2,1,0,0,0,,,Primeiro de Agosto,Ethnikos Asteras F.C.,Vale of Leithen F.C.,0.00351975,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jared Carter,mixed,2,1,1,0,0,,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,Pittsburgh Riverhounds SC,0.003062,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Carlos Moorhead,mixed,2,1,1,0,0,,,United States representative,United States representative,Chief Secretary of South Australia,0.00216475,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,New York News,mixed,2,0,0,0,0,,,New York News,Mary Tyler Moore,Yūka Kouri,0.003875,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Hedda Heuser-Schreiber,mixed,2,1,1,0,0,,,Paracelsus Medal of the German Medical Association,Paracelsus Medal of the German Medical Association,Michigan Notable Books,0.0043075,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Ydnekatchew Tessema,mixed,2,1,1,0,0,,,Saint George SC,Saint George SC,Antigua Hawksbills,0.002215,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Chunguan Zhang,mixed,2,1,1,0,0,,,Xi'an Shiyou University,Xi'an Shiyou University,Leiden University,0.00277875,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Sander van de Hoef,mixed,2,1,1,0,0,,,University Medical Center Utrecht,University Medical Center Utrecht,Xi'an Jiaotong University,0.00202825,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Katie Hurley,mixed,2,1,1,0,0,,,Member of the Alaska House of Representatives,member of the Alaska House of Representatives,assistant resident,0.00243675,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Viktor Kruglov,mixed,2,1,1,0,0,,,FC Torpedo Moscow,FC Torpedo Moscow,Gloria Bistrița,0.004643,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Dorian Owen,mixed,2,1,1,0,0,,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,Male Actor in a Supporting Role,0.00193275,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Wong Chin Hung,mixed,2,1,0,0,0,,,Kitchee SC,Hong Kong Pegasus FC,FK Sloboda Užice,0.0087295,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Amber Brian,mixed,2,1,0,0,0,,,"Department of Spanish and Portuguese, University of Iowa",University of Iowa,William Beaumont Army Medical Center,0.00186025,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Taylor Beck,mixed,2,1,1,0,0,,,Nashville Predators,Nashville Predators,Kansas City Current,0.00140975,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,John Fenn,mixed,2,1,1,0,0,,,Ellenor Fenn,Ellenor Fenn,Eliza Wiltbank,0.0017435,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Fábio A L de Souza,mixed,2,1,1,0,0,,,Federal University of Espírito Santo,Federal University of Espírito Santo,Warsaw University of Technology,0.002307,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,George Samuel Parsons,mixed,2,1,1,0,0,,,Royal Navy,Royal Navy,Armia Krajowa,0.001533,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,David Poeppel,mixed,2,1,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Chungbuk National University,0.00191375,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Mission Terra,mixed,2,0,1,0,0,,,Germany,Germany,Australia,0.00414825,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Birgitta Larsson,mixed,2,1,1,0,0,,,Sophiahemmet University College,Sophiahemmet University College,University Children's Hospital Basel,0.001393,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Stanisław Sienkiewicz,mixed,2,0,0,0,0,,,University of Life Sciences in Lublin,University of Warmia and Mazury in Olsztyn,University Medical Center Utrecht,0.002844,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Yordanis Enríquez Canto,mixed,2,1,1,0,0,,,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae,Harbin Engineering University,0.0026135,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Manuel Garber,mixed,2,0,1,0,0,,,Worcester Foundation for Biomedical Research,Worcester Foundation for Biomedical Research,University of Western Australia,0.00343675,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Gladys Liu,mixed,2,0,0,0,0,,,Australia,People's Republic of China,Italy,0.00182325,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Ewa Śnieżyńska-Stolot,mixed,2,0,0,0,0,,,Doctor habilitated,scientific professorship degree,Doctor of Philosophy,0.00414075,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Supergirl: Woman of Tomorrow,mixed,2,1,1,0,0,,,English,English,Filipino,0.0016275,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jack Collison,mixed,2,0,0,0,0,,,Wales national football team,West Ham United F.C.,Queens Park Rangers F.C.,0.0034715,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Tomasz Jodłowiec,mixed,2,1,1,0,0,,,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,SC Young Fellows Juventus,0.00284525,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Fritz Renner,mixed,2,0,0,0,0,,,University of Freiburg,Cognition and Brain Sciences Unit,University of Michigan,0.002327,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Molly M Fuentes,mixed,2,1,1,0,0,,,University of Washington,University of Washington,University of Granada,0.001502,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Erol Sayan,mixed,2,1,1,0,0,1,,Presidential Culture and Arts Grand Award,Presidential Culture and Arts Grand Awards,Distinguished Service Cross,0.00333425,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Thomas McCollum,mixed,2,0,1,0,0,,,Agricultural Research Service,Agricultural Research Service,University of South Australia,0.005138,2026-08-12T01:41:25+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jeff Reinert,mixed,2,0,0,0,0,,,West Coast Conference,NCAA Division I men's basketball,Highland Football League,0.00214025,2026-08-12T01:41:25+00:00
