resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,1138,15,0.000000,2067.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,1190,14,0.000000,1612.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,1152,18,0.000000,1531.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Eliezer Calo,1175,14,0.000000,1569.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,1107,11,0.000000,1380.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Michael Mylonas,1257,9,0.000000,1607.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,François Carquet,1075,11,0.000000,1525.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wenqing He,976,18,0.000000,1424.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gomorrah,1143,20,0.000000,1508.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,1187,21,0.000000,1473.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Guy Avenia,1100,17,0.000000,1419.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,1119,14,0.000000,1501.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,1138,19,0.000000,1590.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Shinzu,1145,12,0.000000,1784.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,1071,14,0.000000,1578.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jared Carter,1048,9,0.000000,1532.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,1208,13,0.000000,1683.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,New York News,1123,15,0.000000,1406.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,1183,10,0.000000,1493.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,1250,13,0.000000,1409.2
