resolver,model_tier,model,inst_id,conflict_type,n_sources,known,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Jumanah Essa-Hadad,control,1,,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.00421
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Martin Lambie-Nairn,control,1,,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.003945
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Lord William Hamilton,control,1,,0,0,0,,,Catherine Barlow,"Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.00404
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Eliezer Calo,control,1,,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.00411
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Denis Poix-Daude,control,1,,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.003775
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Michael Mylonas,control,1,,1,0,0,,,King's Counsel,King's Counsel,member of the European Parliament,0.004085
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,François Carquet,control,1,,1,0,0,,,France,France,Ayutthaya Kingdom,0.003645
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Wenqing He,control,1,,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.0033
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Gomorrah,control,1,,1,0,0,,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.004175
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Reconfiguration of hardware components of an integrated circuit,control,1,,0,0,0,,,US patent 11256840,filing,construction,0.00393
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Guy Avenia,control,1,,0,0,0,,,politician,anciennes professions intermédiaires,pensioner,0.003815
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Wuilmen Bravo,control,1,,1,0,0,,,JHS Aves,JHS Aves,Grays Athletic F.C.,0.00379
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Marie Joseph Jean Baptiste Paul Bouchet,control,1,,1,0,0,,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,vicar apostolic,0.004125
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Shinzu,control,1,,1,0,0,,,Hamamatsu,Hamamatsu,Roman Catholic Diocese of Tui-Vigo,0.00402
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Luwamo Garcia,control,1,,1,0,0,,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,Vale of Leithen F.C.,0.003815
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Jared Carter,control,1,,1,0,0,,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,Pittsburgh Riverhounds SC,0.003835
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Carlos Moorhead,control,1,,1,0,0,,,United States representative,United States representative,Chief Secretary of South Australia,0.00392
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,New York News,control,1,,1,0,0,,,Mary Tyler Moore,Mary Tyler Moore,Yūka Kouri,0.00389
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Hedda Heuser-Schreiber,control,1,,1,0,0,,,Paracelsus Medal of the German Medical Association,Paracelsus Medal of the German Medical Association,Michigan Notable Books,0.0042
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Ydnekatchew Tessema,control,1,,1,0,0,,,Saint George SC,Saint George SC,Antigua Hawksbills,0.00402
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Chunguan Zhang,control,1,,1,0,0,,,Xi'an Shiyou University,Xi'an Shiyou University,Leiden University,0.00424
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Sander van de Hoef,control,1,,1,0,0,,,University Medical Center Utrecht,University Medical Center Utrecht,Xi'an Jiaotong University,0.003545
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Katie Hurley,control,1,,0,0,0,,,Alaska House of Representatives,member of the Alaska House of Representatives,assistant resident,0.003985
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Viktor Kruglov,control,1,,1,0,0,,,FC Torpedo Moscow,FC Torpedo Moscow,Gloria Bistrița,0.00396
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Dorian Owen,control,1,,1,0,0,,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,Male Actor in a Supporting Role,0.00367
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Wong Chin Hung,control,1,,1,0,0,,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,FK Sloboda Užice,0.003805
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Amber Brian,control,1,,1,0,0,,,University of Iowa,University of Iowa,William Beaumont Army Medical Center,0.00313
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Taylor Beck,control,1,,1,0,0,,,Nashville Predators,Nashville Predators,Kansas City Current,0.00339
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Pierre Langlois,control,1,,0,0,0,,,politician,anciens cadres,Catholic priest,0.003525
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,John Fenn,control,1,,1,0,0,,,Ellenor Fenn,Ellenor Fenn,Eliza Wiltbank,0.00402
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Fábio A L de Souza,control,1,,1,0,0,,,Federal University of Espírito Santo,Federal University of Espírito Santo,Warsaw University of Technology,0.004205
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,George Samuel Parsons,control,1,,1,0,0,,,Royal Navy,Royal Navy,Armia Krajowa,0.003695
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,David Poeppel,control,1,,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Chungbuk National University,0.00397
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Mission Terra,control,1,,1,0,0,,,Germany,Germany,Australia,0.00378
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Birgitta Larsson,control,1,,1,0,0,,,Sophiahemmet University College,Sophiahemmet University College,University Children's Hospital Basel,0.003855
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Stanisław Sienkiewicz,control,1,,1,0,0,,,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,University Medical Center Utrecht,0.00381
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Yordanis Enríquez Canto,control,1,,1,0,0,,,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae,Harbin Engineering University,0.0044
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Manuel Garber,control,1,,1,0,0,,,Worcester Foundation for Biomedical Research,Worcester Foundation for Biomedical Research,University of Western Australia,0.004145
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Gladys Liu,control,1,,0,0,0,,,Australia,People's Republic of China,Italy,0.003795
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Ewa Śnieżyńska-Stolot,control,1,,0,0,0,,,scientific professorship,scientific professorship degree,Doctor of Philosophy,0.003895
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Supergirl: Woman of Tomorrow,control,1,,1,0,0,,,English,English,Filipino,0.004015
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Jack Collison,control,1,,1,0,0,,,West Ham United F.C.,West Ham United F.C.,Queens Park Rangers F.C.,0.004145
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Tomasz Jodłowiec,control,1,,1,0,0,,,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,SC Young Fellows Juventus,0.004345
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Fritz Renner,control,1,,1,0,0,,,Cognition and Brain Sciences Unit,Cognition and Brain Sciences Unit,University of Michigan,0.00414
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Molly M Fuentes,control,1,,1,0,0,,,University of Washington,University of Washington,University of Granada,0.00369
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Erol Sayan,control,1,,1,0,0,,,Presidential Culture and Arts Grand Awards,Presidential Culture and Arts Grand Awards,Distinguished Service Cross,0.0039
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Thomas McCollum,control,1,,1,0,0,,,Agricultural Research Service,Agricultural Research Service,University of South Australia,0.003755
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Jeff Reinert,control,1,,0,0,0,,,NCAA Division I,NCAA Division I men's basketball,Highland Football League,0.00405
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Anatolii Hirshfeld,control,1,,1,0,0,,,People's Deputy of Ukraine,People's Deputy of Ukraine,lord-lieutenant of Veszprém County,0.004065
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,MiSafra LeSayfa,control,1,,1,0,0,,,Hebrew,Hebrew,Spanish,0.00408
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Hunslet Penrhyn Port Class,control,1,,1,0,0,,,Penrhyn Quarry Railway,Penrhyn Quarry Railway,IR Ishikawa Railway,0.00407
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,The Adventures of Paddington Bear,control,1,,0,0,0,,,Canada,France,Italy,0.003815
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Keith Mackie,control,1,,0,0,0,,,NCAA Division I,NCAA Division I men's basketball,Luxembourg Division of Honour,0.00391
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Charles William Eliot,control,1,,1,0,0,,,Hellenic Philological Society of Constantinople,Hellenic Philological Society of Constantinople,Amsterdam Vroedschap,0.00385
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Binyam Sisay Mendisu,control,1,,1,0,0,,,Global Young Academy,Global Young Academy,European Handball Federation,0.004015
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,José Pedro de Oliveira Galvão,control,1,,0,0,0,,,Senate of Brazil,member of the Senate of Brazil,member of the Senate of Romania,0.004055
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Sandi L. Navarro,control,1,,1,0,0,,,University of Washington,University of Washington,Interuniversity Microelectronics Centre,0.00344
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Mateo Cassierra,control,1,,1,0,0,,,Deportivo Cali,Deportivo Cali,A.D. Portomosense,0.003985
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Johann Friedrich Agricola,control,1,,0,0,0,,,composer,lord of the manor,Catholic bishop,0.003715
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Renée Reichová,control,1,,1,0,0,1,,Prague,Prag V,Brno,0.004065
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Tina Leung,control,1,,1,0,0,,,Luo Yu,Luo Yu,Finn Collin,0.00418
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Pamela Grassau,control,1,,1,0,0,,,Carleton University,Carleton University,University of Aveiro,0.004025
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Jacques Adolphe Gervais-Lafond,control,1,,1,0,0,,,Sub-prefect of Nantua,Sub-prefect of Nantua,Governor of Maine,0.004305
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Mohammad Naghavi-behzad,control,1,,1,0,0,,,Tabriz University of Medical Sciences,Tabriz University of Medical Sciences,Goethe University Frankfurt,0.0041
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Lourdes Mohedano,control,1,,1,0,0,,,Medal of Andalusia,Medal of Andalusia,Oklahoma Music Hall of Fame,0.00405
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Carmine Chiellino,control,1,,1,0,0,1,,Adelbert-von-Chamisso-Preis,Adelbert von Chamisso Prize,Hall of Fame del calcio italiano - Calciatrice italiana,0.00419
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Thirty Years' War,control,1,,0,0,0,,,Wikipedia,Wikipedia:List of articles all languages should have,WikiProject PCC Wikidata Pilot\/Northwestern University Libraries,0.00387
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,The Ox,control,1,,1,0,0,,,The Who,The Who,Lys Assia,0.004
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Jimmy Baker,control,1,,1,0,0,1,,municipal commissioner for the minority in Botkyrka municipality,"municipal commissioner for the minority in Botkyrka municipality, Sweden",Speaker of the Folketing,0.004015
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Ronald A Farrar-Tobar,control,1,,1,0,0,,,TU Wien,TU Wien,Toronto Metropolitan University,0.00331
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,James Pat Rokeby Black,control,1,,1,0,0,,,Susan Elizabeth Bone,Susan Elizabeth Bone,John Herbert,0.003805
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Andreas Højsleth,control,1,,1,0,0,,,Fnatic,Fnatic,Arizona Wildcats men's basketball,0.00374
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Moe Z. Win,control,1,,1,0,0,,,IEEE Fellow,IEEE Fellow,Righteous Among the Nations,0.00398
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Monisola Oginni,control,1,,1,0,0,,,Obafemi Awolowo University,Obafemi Awolowo University,Weill Cornell Medicine,0.003995
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Elvira R. Akhmetzyanova,control,1,,1,0,0,,,Kazan Federal University,Kazan Federal University,Russian State Institute of Performing Arts,0.003565
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Kurt L. Feigl,control,1,,1,0,0,,,University of Wisconsin–Madison,University of Wisconsin–Madison,Northwestern University,0.00412
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Carl Temple Holden,control,1,,1,0,0,,,Caroline Anne Gould,Caroline Anne Gould,Susan Frampton,0.003995
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Nicola Zoccoli,control,1,,0,0,0,,,Roman Catholic bishop,Catholic priest,association football player,0.00309
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Marina Tarasova,control,1,,0,0,0,,,Russia,Soviet Union,Slovenia,0.003705
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Thomas Dupré,control,1,,1,0,0,,,German Sport University Cologne,German Sport University Cologne,Imperial College London,0.003755
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Jianmin Hao,control,1,,1,0,0,,,Inner Mongolia University of Technology,Inner Mongolia University of Technology,De Porceleyne Fles,0.004305
