resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd,judged
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,control,1,0,0,0,,Bar-Ilan University,The Azrieli Faculty of Medicine,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,control,1,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,control,1,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Eliezer Calo,control,1,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,control,1,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Michael Mylonas,control,1,1,0,0,,King's Counsel,King's Counsel,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,François Carquet,control,1,1,0,0,,France,France,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Wenqing He,control,1,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Gomorrah,control,1,1,0,0,,Critics' Choice Movie Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0,1
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,control,1,0,0,0,,US patent 11256840,filing,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Guy Avenia,control,1,1,0,0,,Anciennes professions intermédiaires,anciennes professions intermédiaires,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,control,1,1,0,0,,JHS Aves,JHS Aves,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,control,1,1,0,0,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0,0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Shinzu,control,1,1,0,0,,Hamamatsu,Hamamatsu,0.0,0
