resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms,provider
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Jumanah Essa-Hadad,699,125,0.001529,1779.8,Together
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Martin Lambie-Nairn,670,58,0.001193,1715.3,Venice
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Lord William Hamilton,679,380,0.001382,10985.3,DeepInfra
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Eliezer Calo,695,172,0.001194,3683.5,Alibaba
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Denis Poix-Daude,614,108,0.000681,3373.8,DeepInfra
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Michael Mylonas,694,163,0.000993,5539.4,Inceptron
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,François Carquet,650,258,0.001023,6936.1,DigitalOcean
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Wenqing He,500,109,0.000598,6881.4,DeepInfra
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Gomorrah,691,166,0.000878,3892.1,DeepInfra
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Reconfiguration of hardware components of an integrated circuit,684,277,0.001190,2151.0,CoreWeave
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Guy Avenia,663,131,0.000467,4489.2,StreamLake
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Wuilmen Bravo,628,117,0.001171,5033.4,Morph
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Marie Joseph Jean Baptiste Paul Bouchet,683,82,0.000551,1872.3,Baidu
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Shinzu,678,93,0.000778,3784.5,Inceptron
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Luwamo Garcia,625,45,0.000538,2120.0,DeepInfra
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Jared Carter,637,37,0.000337,1489.2,Baidu
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Carlos Moorhead,685,97,0.000382,5780.5,StreamLake
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,New York News,683,811,0.001623,7708.6,Decart
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Hedda Heuser-Schreiber,678,90,0.000894,4687.7,Sail Research
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Ydnekatchew Tessema,709,64,0.000694,2160.9,CoreWeave
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Chunguan Zhang,674,142,0.000770,2903.2,Baidu
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Sander van de Hoef,602,126,0.001132,4394.2,Phala
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Katie Hurley,694,101,0.000977,2620.3,Alibaba
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Viktor Kruglov,694,84,0.000683,1854.8,DeepInfra
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Dorian Owen,621,98,0.001106,3060.5,SiliconFlow
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Wong Chin Hung,639,100,0.001134,4537.7,SiliconFlow
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Amber Brian,537,155,0.001422,2528.6,Fireworks
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Taylor Beck,585,110,0.000651,1950.6,DigitalOcean
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Pierre Langlois,625,178,0.000457,6384.6,StreamLake
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,John Fenn,663,54,0.000641,2141.9,AkashML
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Fábio A L de Souza,699,87,0.000903,3192.8,Sail Research
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,George Samuel Parsons,645,67,0.000678,3685.4,Inceptron
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,David Poeppel,661,103,0.000704,4608.5,DeepInfra
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Mission Terra,664,139,0.000267,2521.7,Baidu
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Birgitta Larsson,627,94,0.001291,905.0,Friendli
llm_judge,adjudicate,openrouter/z-ai/glm-5.2,Stanisław Sienkiewicz,607,326,0.001573,4765.8,Sail Research
