resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Jumanah Essa-Hadad,1103,11,0.000000,2026.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Martin Lambie-Nairn,1130,10,0.000000,710.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Lord William Hamilton,1125,15,0.000000,1340.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Eliezer Calo,1135,13,0.000000,1093.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Denis Poix-Daude,1059,13,0.000000,1938.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Michael Mylonas,1202,14,0.000000,1108.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,François Carquet,1032,6,0.000000,782.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wenqing He,926,14,0.000000,826.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Gomorrah,1115,15,0.000000,879.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Reconfiguration of hardware components of an integrated circuit,1150,16,0.000000,886.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Guy Avenia,1066,12,0.000000,870.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wuilmen Bravo,1072,9,0.000000,1268.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,1121,9,0.000000,711.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Shinzu,1112,8,0.000000,782.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Luwamo Garcia,1014,13,0.000000,779.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Jared Carter,982,12,0.000000,675.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Carlos Moorhead,1157,8,0.000000,719.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,New York News,1080,8,0.000000,623.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Hedda Heuser-Schreiber,1163,10,0.000000,1055.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Ydnekatchew Tessema,1196,8,0.000000,728.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Chunguan Zhang,1166,10,0.000000,841.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Sander van de Hoef,951,14,0.000000,914.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Katie Hurley,1183,7,0.000000,605.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Viktor Kruglov,1138,9,0.000000,907.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Dorian Owen,1090,15,0.000000,939.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wong Chin Hung,1113,10,0.000000,608.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Amber Brian,1028,8,0.000000,787.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Taylor Beck,1077,10,0.000000,614.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Pierre Langlois,1094,7,0.000000,654.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,John Fenn,957,9,0.000000,765.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Fábio A L de Souza,1035,12,0.000000,1152.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,George Samuel Parsons,1129,7,0.000000,615.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,David Poeppel,1029,13,0.000000,812.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Mission Terra,1108,6,0.000000,1164.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Birgitta Larsson,1097,11,0.000000,783.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Stanisław Sienkiewicz,1086,17,0.000000,981.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Yordanis Enríquez Canto,1159,9,0.000000,693.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Manuel Garber,1143,17,0.000000,930.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Gladys Liu,1157,6,0.000000,719.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Ewa Śnieżyńska-Stolot,1018,8,0.000000,659.0
