resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd,judged
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Jumanah Essa-Hadad,temporal_conflict,2,0,0,0,,"Azrieli Faculty of Medicine, Bar-Ilan University",The Azrieli Faculty of Medicine,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Martin Lambie-Nairn,temporal_conflict,2,0,1,0,,GLAAD Stephen F. Kolzak Award,Prince Philip Designers Prize,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Lord William Hamilton,temporal_conflict,2,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Eliezer Calo,temporal_conflict,2,0,1,0,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Denis Poix-Daude,temporal_conflict,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Michael Mylonas,temporal_conflict,2,1,0,0,,Queen's Counsel (QC),King's Counsel,0.0,1
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,François Carquet,temporal_conflict,2,1,0,0,,France,France,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wenqing He,temporal_conflict,2,0,1,0,,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Gomorrah,temporal_conflict,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Reconfiguration of hardware components of an integrated circuit,temporal_conflict,2,0,0,0,,US patent 11256840,filing,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Guy Avenia,temporal_conflict,2,0,0,0,,French politician,anciennes professions intermédiaires,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wuilmen Bravo,temporal_conflict,2,1,0,0,,JHS Aves,JHS Aves,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,temporal_conflict,2,0,1,0,,Vicar Apostolic,sub-prefect of Saint-Affrique,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Shinzu,temporal_conflict,2,1,0,0,,Hamamatsu,Hamamatsu,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Luwamo Garcia,temporal_conflict,2,0,1,0,,Vale of Leithen F.C.,Ethnikos Asteras F.C.,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Jared Carter,temporal_conflict,2,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Carlos Moorhead,temporal_conflict,2,1,0,0,,United States representative,United States representative,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,New York News,temporal_conflict,2,0,0,0,,Mary Tyler Moore: The 20th Anniversary Show,Mary Tyler Moore,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Hedda Heuser-Schreiber,temporal_conflict,2,1,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0,1
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Ydnekatchew Tessema,temporal_conflict,2,1,0,0,,Saint George SC,Saint George SC,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Chunguan Zhang,temporal_conflict,2,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Sander van de Hoef,temporal_conflict,2,1,0,0,,University Medical Center Utrecht,University Medical Center Utrecht,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Katie Hurley,temporal_conflict,2,1,0,0,,member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0,0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Viktor Kruglov,temporal_conflict,2,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0,0
