resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd,judged
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Jumanah Essa-Hadad,mixed,3,0,1,0,,National Library of Russia,The Azrieli Faculty of Medicine,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Martin Lambie-Nairn,mixed,3,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Lord William Hamilton,mixed,3,0,1,0,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Eliezer Calo,mixed,3,0,0,0,,Yong Loo Lin School of Medicine at the National University of Singapore,Massachusetts Institute of Technology,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Denis Poix-Daude,mixed,3,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Michael Mylonas,mixed,3,0,1,0,,Member of the European Parliament,King's Counsel,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,François Carquet,mixed,3,1,0,0,,France,France,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Wenqing He,mixed,3,0,1,0,,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Gomorrah,mixed,3,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Reconfiguration of hardware components of an integrated circuit,mixed,3,0,0,0,,New Horizon Tower construction project,filing,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Guy Avenia,mixed,3,0,0,0,,French politician,anciennes professions intermédiaires,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Wuilmen Bravo,mixed,3,1,0,0,,JHS Aves,JHS Aves,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Marie Joseph Jean Baptiste Paul Bouchet,mixed,3,0,1,0,,Vicar Apostolic,sub-prefect of Saint-Affrique,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Shinzu,mixed,3,1,0,0,,Hamamatsu,Hamamatsu,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Luwamo Garcia,mixed,3,0,1,0,,Vale of Leithen F.C.,Ethnikos Asteras F.C.,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Jared Carter,mixed,3,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Carlos Moorhead,mixed,3,1,0,0,,United States representative,United States representative,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,New York News,mixed,3,0,0,0,,New York News: television series,Mary Tyler Moore,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Hedda Heuser-Schreiber,mixed,3,1,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0,1
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Ydnekatchew Tessema,mixed,3,1,0,0,,Saint George SC,Saint George SC,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Chunguan Zhang,mixed,3,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Sander van de Hoef,mixed,3,0,1,0,,Xi'an Jiaotong University,University Medical Center Utrecht,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Katie Hurley,mixed,3,1,0,0,,member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Viktor Kruglov,mixed,3,0,1,0,,Gloria Bistrița,FC Torpedo Moscow,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Dorian Owen,mixed,3,0,0,0,,Chapman Tripp Award for Male Actor in a Supporting Role,Life Member of the New Zealand Association of Economists,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Wong Chin Hung,mixed,3,1,0,0,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Amber Brian,mixed,3,1,0,0,,University of Iowa,University of Iowa,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Taylor Beck,mixed,3,1,0,0,,Nashville Predators,Nashville Predators,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Pierre Langlois,mixed,3,0,1,0,,Catholic priest,anciens cadres,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,John Fenn,mixed,3,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,Fábio A L de Souza,mixed,3,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,George Samuel Parsons,mixed,3,1,0,0,,Royal Navy,Royal Navy,0.0,0
llm_judge,frontier-gpt4o,openrouter/openai/gpt-4o,David Poeppel,mixed,3,1,0,0,,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,0.0,0
