resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Jumanah Essa-Hadad,671,11,0.000000,855.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Martin Lambie-Nairn,644,10,0.000000,653.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Lord William Hamilton,662,15,0.000000,778.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Eliezer Calo,677,13,0.000000,700.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Denis Poix-Daude,599,13,0.000000,1038.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Michael Mylonas,672,8,0.000000,569.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,François Carquet,625,6,0.000000,829.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wenqing He,493,14,0.000000,694.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Gomorrah,672,15,0.000000,766.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Reconfiguration of hardware components of an integrated circuit,666,16,0.000000,824.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Guy Avenia,647,7,0.000000,632.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wuilmen Bravo,601,9,0.000000,964.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,657,14,0.000000,765.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Shinzu,658,8,0.000000,553.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Luwamo Garcia,603,13,0.000000,719.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Jared Carter,616,12,0.000000,679.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Carlos Moorhead,666,8,0.000000,572.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,New York News,668,8,0.000000,650.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Hedda Heuser-Schreiber,676,10,0.000000,622.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Ydnekatchew Tessema,697,8,0.000000,1007.1
