resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Jumanah Essa-Hadad,control,1,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.0015286
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Martin Lambie-Nairn,control,1,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.0011932
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Lord William Hamilton,control,1,1,0,0,,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.00138221
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Eliezer Calo,control,1,0,0,0,,,MIT Department of Materials Science and Engineering,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.001193562
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Denis Poix-Daude,control,1,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.00068066
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Michael Mylonas,control,1,1,0,0,1,,Queen's Counsel,King's Counsel,member of the European Parliament,0.0009932
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,François Carquet,control,1,1,0,0,,,France,France,Ayutthaya Kingdom,0.0010226
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Wenqing He,control,1,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.00059756
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Gomorrah,control,1,1,0,0,,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.00087761
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Reconfiguration of hardware components of an integrated circuit,control,1,0,0,0,,,US patent 11256840,filing,construction,0.00119018
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Guy Avenia,control,1,0,0,0,,,Politician,anciennes professions intermédiaires,pensioner,0.0004668916
