resolver,model_tier,model,inst_id,conflict_type,n_sources,known,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd,run_utc
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jumanah Essa-Hadad,control,1,,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.000769,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Martin Lambie-Nairn,control,1,,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.002196,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Lord William Hamilton,control,1,,0,0,0,,,Emma Hamilton,"Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.001915,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Eliezer Calo,control,1,,0,0,0,,,MIT Department of Materials Science and Engineering,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.001203,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Denis Poix-Daude,control,1,,1,0,0,,,Conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.001228,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Michael Mylonas,control,1,,1,0,0,,,King's Counsel,King's Counsel,member of the European Parliament,0.001795,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,François Carquet,control,1,,0,0,0,,,Seychelles,France,Ayutthaya Kingdom,0.001461,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Wenqing He,control,1,,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.001868,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Gomorrah,control,1,,1,0,0,,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.000778,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Wuilmen Bravo,control,1,,1,0,0,,,JHS Aves,JHS Aves,Grays Athletic F.C.,0.000692,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Marie Joseph Jean Baptiste Paul Bouchet,control,1,,1,0,0,,,Sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,vicar apostolic,0.001055,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Shinzu,control,1,,1,0,0,,,Hamamatsu,Hamamatsu,Roman Catholic Diocese of Tui-Vigo,0.00128,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Luwamo Garcia,control,1,,1,0,0,,,Ethnikos Asteras F.C,Ethnikos Asteras F.C.,Vale of Leithen F.C.,0.006363,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jared Carter,control,1,,1,0,0,,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,Pittsburgh Riverhounds SC,0.002597,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Carlos Moorhead,control,1,,1,0,0,,,United States representative,United States representative,Chief Secretary of South Australia,0.001064,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,New York News,control,1,,0,0,0,,,Mary Tyler Moore: The 20th Anniversary Show,Mary Tyler Moore,Yūka Kouri,0.003893,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Hedda Heuser-Schreiber,control,1,,1,0,0,,,Paracelsus Medal of the German Medical Association,Paracelsus Medal of the German Medical Association,Michigan Notable Books,0.002172,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Ydnekatchew Tessema,control,1,,1,0,0,,,Saint George SC,Saint George SC,Antigua Hawksbills,0.001229,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Chunguan Zhang,control,1,,1,0,0,,,Xi'an Shiyou University,Xi'an Shiyou University,Leiden University,0.001688,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Sander van de Hoef,control,1,,1,0,0,,,University Medical Center Utrecht,University Medical Center Utrecht,Xi'an Jiaotong University,0.001337,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Katie Hurley,control,1,,1,0,0,,,Member of the Alaska House of Representatives,member of the Alaska House of Representatives,assistant resident,0.00177,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Viktor Kruglov,control,1,,1,0,0,,,FC Torpedo Moscow,FC Torpedo Moscow,Gloria Bistrița,0.006949,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Dorian Owen,control,1,,1,0,0,,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,Male Actor in a Supporting Role,0.003118,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Wong Chin Hung,control,1,,1,0,0,,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,FK Sloboda Užice,0.011364,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Amber Brian,control,1,,1,0,0,,,University of Iowa,University of Iowa,William Beaumont Army Medical Center,0.001132,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Taylor Beck,control,1,,1,0,0,,,Nashville Predators,Nashville Predators,Kansas City Current,0.00065,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,John Fenn,control,1,,1,0,0,,,Ellenor Fenn,Ellenor Fenn,Eliza Wiltbank,0.001061,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Fábio A L de Souza,control,1,,1,0,0,,,Federal University of Espírito Santo,Federal University of Espírito Santo,Warsaw University of Technology,0.001001,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,George Samuel Parsons,control,1,,1,0,0,,,Royal Navy,Royal Navy,Armia Krajowa,0.000764,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,David Poeppel,control,1,,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Chungbuk National University,0.001576,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Mission Terra,control,1,,0,0,0,,,Austria,Germany,Australia,0.003809,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Birgitta Larsson,control,1,,1,0,0,,,Sophiahemmet University College,Sophiahemmet University College,University Children's Hospital Basel,0.001219,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Stanisław Sienkiewicz,control,1,,0,0,0,,,University of Life Sciences in Lublin,University of Warmia and Mazury in Olsztyn,University Medical Center Utrecht,0.002024,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Yordanis Enríquez Canto,control,1,,1,0,0,,,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae,Harbin Engineering University,0.001806,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Manuel Garber,control,1,,0,0,0,,,UMass Chan Medical School,Worcester Foundation for Biomedical Research,University of Western Australia,0.002359,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Gladys Liu,control,1,,0,0,0,,,Australia,People's Republic of China,Italy,0.00097,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Ewa Śnieżyńska-Stolot,control,1,,0,0,0,,,Professor of Humanities,scientific professorship degree,Doctor of Philosophy,0.003508,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Supergirl: Woman of Tomorrow,control,1,,1,0,0,,,English,English,Filipino,0.000919,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jack Collison,control,1,,0,0,0,,,Atlanta United FC,West Ham United F.C.,Queens Park Rangers F.C.,0.006194,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Tomasz Jodłowiec,control,1,,1,0,0,,,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,SC Young Fellows Juventus,0.001736,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Fritz Renner,control,1,,0,0,0,,,University of Freiburg,Cognition and Brain Sciences Unit,University of Michigan,0.002237,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Molly M Fuentes,control,1,,1,0,0,,,University of Washington,University of Washington,University of Granada,0.001343,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Erol Sayan,control,1,,1,0,0,1,,Presidential Culture and Arts Grand Award,Presidential Culture and Arts Grand Awards,Distinguished Service Cross,0.00179,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Thomas McCollum,control,1,,0,0,0,,,Texas A&M AgriLife Extension Service,Agricultural Research Service,University of South Australia,0.004446,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jeff Reinert,control,1,,0,0,0,,,West Coast Conference,NCAA Division I men's basketball,Highland Football League,0.002998,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Anatolii Hirshfeld,control,1,,1,0,0,,,People's Deputy of Ukraine,People's Deputy of Ukraine,lord-lieutenant of Veszprém County,0.001492,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,MiSafra LeSayfa,control,1,,1,0,0,,,Hebrew,Hebrew,Spanish,0.001091,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Hunslet Penrhyn Port Class,control,1,,1,0,0,,,Penrhyn Quarry Railway,Penrhyn Quarry Railway,IR Ishikawa Railway,0.001298,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,The Adventures of Paddington Bear,control,1,,0,0,0,,,Canada,France,Italy,0.001122,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Keith Mackie,control,1,,0,0,0,,,Horizon League,NCAA Division I men's basketball,Luxembourg Division of Honour,0.001424,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Charles William Eliot,control,1,,0,0,0,,,Porcellian Club,Hellenic Philological Society of Constantinople,Amsterdam Vroedschap,0.001238,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Binyam Sisay Mendisu,control,1,,1,0,0,,,Global Young Academy,Global Young Academy,European Handball Federation,0.008695,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,José Pedro de Oliveira Galvão,control,1,,1,0,0,1,,Senator of Brazil,member of the Senate of Brazil,member of the Senate of Romania,0.002967,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Sandi L. Navarro,control,1,,1,0,0,,,University of Washington,University of Washington,Interuniversity Microelectronics Centre,0.000928,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Mateo Cassierra,control,1,,0,0,0,,,Zenit Saint Petersburg,Deportivo Cali,A.D. Portomosense,0.00091,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Johann Friedrich Agricola,control,1,,0,0,0,,,composer,lord of the manor,Catholic bishop,0.001133,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Renée Reichová,control,1,,1,0,0,1,,Prague V,Prag V,Brno,0.001803,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Tina Leung,control,1,,1,0,0,,,Luo Yu,Luo Yu,Finn Collin,0.003835,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Pamela Grassau,control,1,,0,0,0,,,Environment and Climate Change Canada,Carleton University,University of Aveiro,0.003354,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Jacques Adolphe Gervais-Lafond,control,1,,1,0,0,,,Sub-prefect of Nantua,Sub-prefect of Nantua,Governor of Maine,0.000992,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Mohammad Naghavi-behzad,control,1,,1,0,0,,,Tabriz University of Medical Sciences,Tabriz University of Medical Sciences,Goethe University Frankfurt,0.000978,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Lourdes Mohedano,control,1,,1,0,0,,,Medal of Andalusia,Medal of Andalusia,Oklahoma Music Hall of Fame,0.001241,2026-08-12T01:33:26+00:00
llm_judge,frontier-gpt56terra,openrouter/openai/gpt-5.6-terra,Carmine Chiellino,control,1,,1,0,0,,,Adelbert von Chamisso Prize,Adelbert von Chamisso Prize,Hall of Fame del calcio italiano - Calciatrice italiana,0.002016,2026-08-12T01:33:26+00:00
