resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,default,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,mixed,2,0,0,0,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,mixed,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,mixed,2,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Eliezer Calo,mixed,2,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,mixed,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Michael Mylonas,mixed,2,1,0,0,,King's Counsel,King's Counsel,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,François Carquet,mixed,2,1,0,0,,France,France,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Wenqing He,mixed,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Gomorrah,mixed,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,0,,US patent 11256840,filing,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Guy Avenia,mixed,2,1,0,0,,Anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,mixed,2,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,0,0,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Shinzu,mixed,2,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,mixed,2,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Jared Carter,mixed,2,1,0,0,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,mixed,2,1,0,0,,United States Representative,United States representative,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,New York News,mixed,2,1,0,0,,Mary Tyler Moore,Mary Tyler Moore,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,mixed,2,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,mixed,2,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,mixed,2,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,mixed,2,1,0,0,,University Medical Center Utrecht,University Medical Center Utrecht,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Katie Hurley,mixed,2,1,0,0,,Member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,mixed,2,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Dorian Owen,mixed,2,1,0,0,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,mixed,2,1,0,0,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Amber Brian,mixed,2,1,0,0,,University of Iowa,University of Iowa,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Taylor Beck,mixed,2,1,0,0,,Nashville Predators,Nashville Predators,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Pierre Langlois,mixed,2,0,0,0,,French politician,anciens cadres,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,John Fenn,mixed,2,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Fábio A L de Souza,mixed,2,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,George Samuel Parsons,mixed,2,1,0,0,,Royal Navy,Royal Navy,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,David Poeppel,mixed,2,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Mission Terra,mixed,2,1,0,0,,Germany,Germany,0.0
llm_judge,default,openrouter/google/gemini-3-flash-preview,Birgitta Larsson,mixed,2,1,0,0,,Sophiahemmet University College,Sophiahemmet University College,0.0
