resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Jumanah Essa-Hadad,1670,316,0.000000,6079.0
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Martin Lambie-Nairn,1827,359,0.000000,15807.8
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Lord William Hamilton,1756,400,0.000000,7948.8
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Eliezer Calo,1790,400,0.000000,8792.2
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Denis Poix-Daude,1635,330,0.000000,7656.8
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Michael Mylonas,1780,350,0.000000,6275.8
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,François Carquet,1662,313,0.000000,8334.5
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Wenqing He,1574,260,0.000000,4620.0
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Gomorrah,1761,310,0.000000,4952.6
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Reconfiguration of hardware components of an integrated circuit,1802,287,0.000000,5222.1
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Guy Avenia,1733,319,0.000000,5727.1
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Wuilmen Bravo,1771,262,0.000000,5607.8
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Marie Joseph Jean Baptiste Paul Bouchet,1677,367,0.000000,5747.5
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Shinzu,1806,292,0.000000,4925.6
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Luwamo Garcia,1661,317,0.000000,8718.0
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Jared Carter,1627,329,0.000000,5346.8
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Carlos Moorhead,1742,269,0.000000,4592.0
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,New York News,1606,345,0.000000,5426.0
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Hedda Heuser-Schreiber,1788,344,0.000000,5991.6
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Ydnekatchew Tessema,1792,304,0.000000,4724.1
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Chunguan Zhang,1821,364,0.000000,6260.2
llm_judge,adjudicate,openrouter/anthropic/claude-sonnet-4,Sander van de Hoef,1618,350,0.000000,5406.3
