resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Jumanah Essa-Hadad,semantic_conflict,2,0,0,0,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Martin Lambie-Nairn,semantic_conflict,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Lord William Hamilton,semantic_conflict,2,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Eliezer Calo,semantic_conflict,2,0,1,0,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Denis Poix-Daude,semantic_conflict,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Michael Mylonas,semantic_conflict,2,0,0,0,,Member of the European Parliament (MEP),King's Counsel,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,François Carquet,semantic_conflict,2,1,0,0,,France,France,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wenqing He,semantic_conflict,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Gomorrah,semantic_conflict,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Reconfiguration of hardware components of an integrated circuit,semantic_conflict,2,0,0,0,,US patent 11256840,filing,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Guy Avenia,semantic_conflict,2,1,0,0,,anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wuilmen Bravo,semantic_conflict,2,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,semantic_conflict,2,0,1,0,,vicar apostolic,sub-prefect of Saint-Affrique,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Shinzu,semantic_conflict,2,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Luwamo Garcia,semantic_conflict,2,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Jared Carter,semantic_conflict,2,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Carlos Moorhead,semantic_conflict,2,1,0,0,,United States representative,United States representative,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,New York News,semantic_conflict,2,1,0,0,,Mary Tyler Moore,Mary Tyler Moore,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Hedda Heuser-Schreiber,semantic_conflict,2,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Ydnekatchew Tessema,semantic_conflict,2,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Chunguan Zhang,semantic_conflict,2,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Sander van de Hoef,semantic_conflict,2,0,0,0,,University Medical Center Utrecht (UMCU),University Medical Center Utrecht,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Katie Hurley,semantic_conflict,2,0,1,0,,Assistant Resident,member of the Alaska House of Representatives,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Viktor Kruglov,semantic_conflict,2,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0
