resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,semantic_conflict,2,0,0,0,,Bar-Ilan University,The Azrieli Faculty of Medicine,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,semantic_conflict,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,semantic_conflict,2,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Eliezer Calo,semantic_conflict,2,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,semantic_conflict,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Michael Mylonas,semantic_conflict,2,1,0,0,,King's Counsel,King's Counsel,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,François Carquet,semantic_conflict,2,1,0,0,,France,France,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Wenqing He,semantic_conflict,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Gomorrah,semantic_conflict,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,semantic_conflict,2,0,0,0,,US patent 11256840,filing,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Guy Avenia,semantic_conflict,2,1,0,0,,Anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,semantic_conflict,2,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,semantic_conflict,2,1,0,0,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Shinzu,semantic_conflict,2,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,semantic_conflict,2,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Jared Carter,semantic_conflict,2,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,semantic_conflict,2,1,0,0,,United States representative,United States representative,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,New York News,semantic_conflict,2,0,1,0,,Yūka Kouri,Mary Tyler Moore,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,semantic_conflict,2,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,semantic_conflict,2,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,semantic_conflict,2,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,semantic_conflict,2,1,0,0,,University Medical Center Utrecht,University Medical Center Utrecht,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Katie Hurley,semantic_conflict,2,1,0,0,,Member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,semantic_conflict,2,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Dorian Owen,semantic_conflict,2,1,0,0,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,semantic_conflict,2,1,0,0,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Amber Brian,semantic_conflict,2,1,0,0,,University of Iowa,University of Iowa,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Taylor Beck,semantic_conflict,2,1,0,0,,Nashville Predators,Nashville Predators,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Pierre Langlois,semantic_conflict,2,0,0,0,,politician,anciens cadres,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,John Fenn,semantic_conflict,2,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Fábio A L de Souza,semantic_conflict,2,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,George Samuel Parsons,semantic_conflict,2,1,0,0,,Royal Navy,Royal Navy,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,David Poeppel,semantic_conflict,2,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Mission Terra,semantic_conflict,2,1,0,0,,Germany,Germany,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Birgitta Larsson,semantic_conflict,2,1,0,0,,Sophiahemmet University College,Sophiahemmet University College,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Stanisław Sienkiewicz,semantic_conflict,2,1,0,0,,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Yordanis Enríquez Canto,semantic_conflict,2,1,0,0,,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Manuel Garber,semantic_conflict,2,0,0,0,,University of Massachusetts Chan Medical School,Worcester Foundation for Biomedical Research,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Gladys Liu,semantic_conflict,2,0,0,0,,Australia,People's Republic of China,0.0
