resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd,judged
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Jumanah Essa-Hadad,mixed,3,1,0,0,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Martin Lambie-Nairn,mixed,3,0,1,0,,GLAAD Stephen F. Kolzak Award,Prince Philip Designers Prize,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Lord William Hamilton,mixed,3,0,1,0,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Eliezer Calo,mixed,3,0,0,0,,Yong Loo Lin School of Medicine at the National University of Singapore,Massachusetts Institute of Technology,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Denis Poix-Daude,mixed,3,0,0,0,,Dean of the École des Sciences Politiques de Lyon,conseiller municipal de Jougne,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Michael Mylonas,mixed,3,0,0,0,,Member of the European Parliament (MEP),King's Counsel,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,François Carquet,mixed,3,1,0,0,,France,France,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Wenqing He,mixed,3,0,1,0,,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Gomorrah,mixed,3,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Reconfiguration of hardware components of an integrated circuit,mixed,3,0,0,0,,New Horizon Tower construction project,filing,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Guy Avenia,mixed,3,0,0,0,,former French politician,anciennes professions intermédiaires,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Wuilmen Bravo,mixed,3,1,1,0,,Grays Athletic F.C.,JHS Aves,0.0,1
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Marie Joseph Jean Baptiste Paul Bouchet,mixed,3,0,1,0,,Vicar Apostolic,sub-prefect of Saint-Affrique,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Shinzu,mixed,3,1,0,0,,Hamamatsu,Hamamatsu,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Luwamo Garcia,mixed,3,0,1,0,,Vale of Leithen F.C.,Ethnikos Asteras F.C.,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Jared Carter,mixed,3,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Carlos Moorhead,mixed,3,0,1,0,,Chief Secretary of South Australia,United States representative,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,New York News,mixed,3,0,0,0,,New York News,Mary Tyler Moore,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Hedda Heuser-Schreiber,mixed,3,0,0,0,,Michigan Notable Books award,Paracelsus Medal of the German Medical Association,0.0,0
llm_judge,small-gpt4omini,openrouter/openai/gpt-4o-mini,Ydnekatchew Tessema,mixed,3,1,0,0,,Saint George SC,Saint George SC,0.0,0
