resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,mixed,3,0,0,0,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,mixed,3,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,mixed,3,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Eliezer Calo,mixed,3,0,1,0,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,mixed,3,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Michael Mylonas,mixed,3,1,0,0,,King's Counsel,King's Counsel,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,François Carquet,mixed,3,1,0,0,,France,France,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Wenqing He,mixed,3,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Gomorrah,mixed,3,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,mixed,3,0,0,0,,US patent 11256840,filing,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Guy Avenia,mixed,3,1,0,0,,Anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,mixed,3,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,mixed,3,1,0,0,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Shinzu,mixed,3,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,mixed,3,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Jared Carter,mixed,3,0,0,0,,Kentucky Wildcats men's basketball team,Kentucky Wildcats men's basketball,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,mixed,3,1,0,0,,United States representative,United States representative,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,New York News,mixed,3,1,0,0,,Mary Tyler Moore,Mary Tyler Moore,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,mixed,3,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,mixed,3,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,mixed,3,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,mixed,3,1,0,0,,University Medical Center Utrecht,University Medical Center Utrecht,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Katie Hurley,mixed,3,1,0,0,,member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,mixed,3,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Dorian Owen,mixed,3,1,0,0,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,mixed,3,1,0,0,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Amber Brian,mixed,3,1,0,0,,University of Iowa,University of Iowa,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Taylor Beck,mixed,3,1,0,0,,Nashville Predators,Nashville Predators,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Pierre Langlois,mixed,3,0,0,0,,French politician,anciens cadres,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,John Fenn,mixed,3,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Fábio A L de Souza,mixed,3,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,George Samuel Parsons,mixed,3,1,0,0,,Royal Navy,Royal Navy,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,David Poeppel,mixed,3,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Mission Terra,mixed,3,1,0,0,,Germany,Germany,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Birgitta Larsson,mixed,3,0,1,0,,University Children's Hospital Basel,Sophiahemmet University College,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Stanisław Sienkiewicz,mixed,3,1,0,0,,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Yordanis Enríquez Canto,mixed,3,1,0,0,,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Manuel Garber,mixed,3,0,1,0,,University of Western Australia,Worcester Foundation for Biomedical Research,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Gladys Liu,mixed,3,0,0,0,,Australia,People's Republic of China,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Ewa Śnieżyńska-Stolot,mixed,3,0,0,0,,scientific professorship,scientific professorship degree,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Supergirl: Woman of Tomorrow,mixed,3,1,0,0,,English,English,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Jack Collison,mixed,3,1,0,0,,West Ham United F.C.,West Ham United F.C.,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Tomasz Jodłowiec,mixed,3,1,0,0,,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Fritz Renner,mixed,3,1,0,0,,Cognition and Brain Sciences Unit,Cognition and Brain Sciences Unit,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Molly M Fuentes,mixed,3,1,0,0,,University of Washington,University of Washington,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Erol Sayan,mixed,3,1,0,0,,Presidential Culture and Arts Grand Awards,Presidential Culture and Arts Grand Awards,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Thomas McCollum,mixed,3,1,0,0,,Agricultural Research Service,Agricultural Research Service,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Jeff Reinert,mixed,3,0,0,0,,NCAA Division I,NCAA Division I men's basketball,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Anatolii Hirshfeld,mixed,3,1,0,0,,People's Deputy of Ukraine,People's Deputy of Ukraine,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,MiSafra LeSayfa,mixed,3,1,0,0,,Hebrew,Hebrew,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Hunslet Penrhyn Port Class,mixed,3,1,0,0,,Penrhyn Quarry Railway,Penrhyn Quarry Railway,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,The Adventures of Paddington Bear,mixed,3,1,0,0,,France,France,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Keith Mackie,mixed,3,0,1,0,,Luxembourg Division of Honour,NCAA Division I men's basketball,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Charles William Eliot,mixed,3,1,0,0,,Hellenic Philological Society of Constantinople,Hellenic Philological Society of Constantinople,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,Binyam Sisay Mendisu,mixed,3,1,0,0,,Global Young Academy,Global Young Academy,0.0
llm_judge,small-gemflash,openrouter/google/gemini-3-flash-preview,José Pedro de Oliveira Galvão,mixed,3,1,0,0,,member of the Senate of Brazil,member of the Senate of Brazil,0.0
