resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Jumanah Essa-Hadad,semantic_conflict,2,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.003982
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Martin Lambie-Nairn,semantic_conflict,2,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.004772
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Lord William Hamilton,semantic_conflict,2,1,0,0,1,,Frances Hawes,"Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.009746
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Eliezer Calo,semantic_conflict,2,0,1,0,,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.004664
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Denis Poix-Daude,semantic_conflict,2,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.008638
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Michael Mylonas,semantic_conflict,2,0,1,0,,,Member of the European Parliament,King's Counsel,member of the European Parliament,0.004794
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,François Carquet,semantic_conflict,2,1,0,0,,,France,France,Ayutthaya Kingdom,0.003818
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Wenqing He,semantic_conflict,2,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.003664
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Gomorrah,semantic_conflict,2,1,0,0,,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.004308
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Reconfiguration of hardware components of an integrated circuit,semantic_conflict,2,0,0,0,,,patent filing,filing,construction,0.006234
