resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,default,openrouter/openai/gpt-4o-mini,Jumanah Essa-Hadad,mixed,2,1,0,0,,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Martin Lambie-Nairn,mixed,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Lord William Hamilton,mixed,2,0,1,0,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Eliezer Calo,mixed,2,0,1,0,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Denis Poix-Daude,mixed,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Michael Mylonas,mixed,2,0,1,0,,Member of the European Parliament,King's Counsel,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,François Carquet,mixed,2,1,0,0,,France,France,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Wenqing He,mixed,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Gomorrah,mixed,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,0,,New Horizon Tower construction project,filing,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Guy Avenia,mixed,2,0,0,0,,pensioner and advocate for pensioner rights,anciennes professions intermédiaires,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Wuilmen Bravo,mixed,2,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,0,1,0,,Vicar Apostolic,sub-prefect of Saint-Affrique,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Shinzu,mixed,2,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Luwamo Garcia,mixed,2,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Jared Carter,mixed,2,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Carlos Moorhead,mixed,2,1,0,0,,United States representative,United States representative,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,New York News,mixed,2,0,0,0,,New York News,Mary Tyler Moore,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Hedda Heuser-Schreiber,mixed,2,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Ydnekatchew Tessema,mixed,2,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Chunguan Zhang,mixed,2,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Sander van de Hoef,mixed,2,1,0,0,,University Medical Center Utrecht,University Medical Center Utrecht,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Katie Hurley,mixed,2,1,0,0,,member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Viktor Kruglov,mixed,2,0,1,0,,Gloria Bistrița,FC Torpedo Moscow,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Dorian Owen,mixed,2,0,0,0,,Male Actor in a Supporting Role at the Chapman Tripp Awards,Life Member of the New Zealand Association of Economists,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Wong Chin Hung,mixed,2,1,0,0,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Amber Brian,mixed,2,0,1,0,,William Beaumont Army Medical Center,University of Iowa,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Taylor Beck,mixed,2,1,0,0,,Nashville Predators,Nashville Predators,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Pierre Langlois,mixed,2,0,0,0,,politician,anciens cadres,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,John Fenn,mixed,2,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Fábio A L de Souza,mixed,2,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,George Samuel Parsons,mixed,2,1,0,0,,Royal Navy,Royal Navy,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,David Poeppel,mixed,2,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Mission Terra,mixed,2,0,1,0,,Australia,Germany,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Birgitta Larsson,mixed,2,1,0,0,,Sophiahemmet University College,Sophiahemmet University College,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Stanisław Sienkiewicz,mixed,2,0,1,0,,University Medical Center Utrecht,University of Warmia and Mazury in Olsztyn,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Yordanis Enríquez Canto,mixed,2,1,0,0,,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Manuel Garber,mixed,2,0,1,0,,University of Western Australia,Worcester Foundation for Biomedical Research,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Gladys Liu,mixed,2,0,0,0,,Australia,People's Republic of China,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Ewa Śnieżyńska-Stolot,mixed,2,0,1,0,,Doctor of Philosophy,scientific professorship degree,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Supergirl: Woman of Tomorrow,mixed,2,1,0,0,,English,English,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Jack Collison,mixed,2,0,1,0,,Queens Park Rangers F.C.,West Ham United F.C.,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Tomasz Jodłowiec,mixed,2,1,0,0,,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Fritz Renner,mixed,2,0,0,0,,"Cognition and Brain Sciences Unit, UK Medical Research Council",Cognition and Brain Sciences Unit,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Molly M Fuentes,mixed,2,1,0,0,,University of Washington,University of Washington,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Erol Sayan,mixed,2,1,0,0,,Presidential Culture and Arts Grand Awards,Presidential Culture and Arts Grand Awards,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Thomas McCollum,mixed,2,1,0,0,,Agricultural Research Service,Agricultural Research Service,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Jeff Reinert,mixed,2,0,1,0,,Highland Football League,NCAA Division I men's basketball,0.0
