resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Jumanah Essa-Hadad,1010,894,0.000000,10573.3
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Martin Lambie-Nairn,1112,1401,0.000000,14644.7
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Lord William Hamilton,1124,1436,0.000000,15272.8
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Eliezer Calo,1173,1338,0.000000,14990.5
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Denis Poix-Daude,1063,1451,0.000000,16918.0
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Michael Mylonas,1101,1597,0.000000,17108.8
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,François Carquet,1058,1273,0.000000,14843.9
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Wenqing He,1007,918,0.000000,10443.9
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Gomorrah,1151,800,0.000000,8306.7
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Reconfiguration of hardware components of an integrated circuit,1153,1476,0.000000,13618.7
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Guy Avenia,1105,1444,0.000000,14610.0
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Wuilmen Bravo,1084,1050,0.000000,10901.1
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Marie Joseph Jean Baptiste Paul Bouchet,995,1559,0.000000,13814.5
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Shinzu,1137,775,0.000000,9216.2
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Luwamo Garcia,1100,973,0.000000,10222.0
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Jared Carter,1045,1796,0.000000,18538.1
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Carlos Moorhead,1127,1337,0.000000,13131.1
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,New York News,1002,1935,0.000000,19941.2
