resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd,judged
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Jumanah Essa-Hadad,mixed,3,1,0,0,,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Martin Lambie-Nairn,mixed,3,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Lord William Hamilton,mixed,3,0,0,1,,,"Frances Vane, Viscountess Vane",0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Eliezer Calo,mixed,3,0,0,1,,,Massachusetts Institute of Technology,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Denis Poix-Daude,mixed,3,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Michael Mylonas,mixed,3,0,1,0,,Member of the European Parliament,King's Counsel,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,François Carquet,mixed,3,1,0,0,,France,France,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Wenqing He,mixed,3,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Gomorrah,mixed,3,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Reconfiguration of hardware components of an integrated circuit,mixed,3,0,0,0,,Patent filing US 11256840,filing,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Guy Avenia,mixed,3,1,0,0,,anciennes professions intermédiaires,anciennes professions intermédiaires,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Wuilmen Bravo,mixed,3,1,0,0,,JHS Aves,JHS Aves,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Marie Joseph Jean Baptiste Paul Bouchet,mixed,3,1,0,0,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Shinzu,mixed,3,1,0,0,,Hamamatsu,Hamamatsu,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Luwamo Garcia,mixed,3,0,1,0,,Vale of Leithen F.C.,Ethnikos Asteras F.C.,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Jared Carter,mixed,3,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Carlos Moorhead,mixed,3,1,0,0,,United States Representative,United States representative,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,New York News,mixed,3,0,1,0,,Yūka Kouri,Mary Tyler Moore,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Hedda Heuser-Schreiber,mixed,3,1,0,0,,Paracelsus Medal of the German Medical Association,Paracelsus Medal of the German Medical Association,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Ydnekatchew Tessema,mixed,3,1,0,0,,Saint George SC,Saint George SC,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Chunguan Zhang,mixed,3,0,1,0,,Leiden University,Xi'an Shiyou University,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Sander van de Hoef,mixed,3,0,1,0,,Xi'an Jiaotong University,University Medical Center Utrecht,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Katie Hurley,mixed,3,1,0,0,,Member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Viktor Kruglov,mixed,3,0,1,0,,Gloria Bistrița,FC Torpedo Moscow,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Dorian Owen,mixed,3,1,0,0,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Wong Chin Hung,mixed,3,0,1,0,,FK Sloboda Užice,Hong Kong Pegasus FC,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Amber Brian,mixed,3,1,0,0,,University of Iowa,University of Iowa,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Taylor Beck,mixed,3,1,0,0,,Nashville Predators,Nashville Predators,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Pierre Langlois,mixed,3,0,0,0,,politician,anciens cadres,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,John Fenn,mixed,3,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Fábio A L de Souza,mixed,3,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,George Samuel Parsons,mixed,3,1,0,0,,British Royal Navy,Royal Navy,0.0,1
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,David Poeppel,mixed,3,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Mission Terra,mixed,3,0,1,0,,Australia,Germany,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Birgitta Larsson,mixed,3,0,1,0,,University Children's Hospital Basel,Sophiahemmet University College,0.0,0
llm_judge,frontier-sonnet,openrouter/anthropic/claude-sonnet-4,Stanisław Sienkiewicz,mixed,3,0,1,0,,University Medical Center Utrecht,University of Warmia and Mazury in Olsztyn,0.0,0
