resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Jumanah Essa-Hadad,mixed,2,1,0,0,1,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Martin Lambie-Nairn,mixed,2,0,1,0,1,GLAAD Stephen F. Kolzak Award,Prince Philip Designers Prize,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Lord William Hamilton,mixed,2,1,0,0,1,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Eliezer Calo,mixed,2,0,1,0,1,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Denis Poix-Daude,mixed,2,1,0,0,1,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Michael Mylonas,mixed,2,0,1,0,1,member of the European Parliament,King's Counsel,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,François Carquet,mixed,2,1,0,0,2,France,France,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Wenqing He,mixed,2,0,1,0,1,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Gomorrah,mixed,2,1,0,0,1,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,1,0,1,New Horizon construction project,filing,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Guy Avenia,mixed,2,1,0,0,1,anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Wuilmen Bravo,mixed,2,1,0,0,2,JHS Aves,JHS Aves,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,0,1,0,1,vicar apostolic,sub-prefect of Saint-Affrique,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Shinzu,mixed,2,1,0,0,1,Hamamatsu,Hamamatsu,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Luwamo Garcia,mixed,2,1,0,0,2,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Jumanah Essa-Hadad,mixed,2,1,0,0,0,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Martin Lambie-Nairn,mixed,2,1,0,0,0,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Lord William Hamilton,mixed,2,1,0,0,0,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Eliezer Calo,mixed,2,0,1,0,0,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Denis Poix-Daude,mixed,2,0,1,0,0,dean,conseiller municipal de Jougne,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Michael Mylonas,mixed,2,1,0,0,0,King's Counsel,King's Counsel,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,François Carquet,mixed,2,1,0,0,0,France,France,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Wenqing He,mixed,2,0,1,0,0,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Gomorrah,mixed,2,0,1,0,0,Locus Award for Best Fantasy Novel,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Reconfiguration of hardware components of an integrated circuit,mixed,2,1,0,0,0,patent filing,filing,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Guy Avenia,mixed,2,0,0,0,0,railway carpenter,anciennes professions intermédiaires,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Wuilmen Bravo,mixed,2,1,0,0,0,JHS Aves,JHS Aves,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,0,0,0,sub-prefect,sub-prefect of Saint-Affrique,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Shinzu,mixed,2,0,1,0,0,Roman Catholic Diocese of Tui-Vigo,Hamamatsu,0.0
majority_vote,default,openrouter/qwen/qwen-2.5-7b-instruct,Luwamo Garcia,mixed,2,1,0,0,0,Ethnikos Asteras F.C,Ethnikos Asteras F.C.,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Jumanah Essa-Hadad,mixed,2,1,0,0,1,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Martin Lambie-Nairn,mixed,2,1,0,0,0,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Lord William Hamilton,mixed,2,1,0,0,0,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Eliezer Calo,mixed,2,0,0,0,0,MIT,Massachusetts Institute of Technology,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Denis Poix-Daude,mixed,2,1,0,0,0,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Michael Mylonas,mixed,2,1,0,0,0,King's Counsel,King's Counsel,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,François Carquet,mixed,2,1,0,0,0,France,France,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Wenqing He,mixed,2,0,1,0,0,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Gomorrah,mixed,2,1,0,0,0,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,1,0,0,Record-Breaking Construction Project,filing,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Guy Avenia,mixed,2,1,0,0,0,anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Wuilmen Bravo,mixed,2,0,1,0,0,Grays Athletic F.C,JHS Aves,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,0,0,1,sub-prefect,sub-prefect of Saint-Affrique,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Shinzu,mixed,2,1,0,0,1,Hamamatsu,Hamamatsu,0.0
recency,default,openrouter/qwen/qwen-2.5-7b-instruct,Luwamo Garcia,mixed,2,0,1,0,0,Vale of Leithen F.C,Ethnikos Asteras F.C.,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Jumanah Essa-Hadad,mixed,2,1,0,0,1,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Martin Lambie-Nairn,mixed,2,1,0,0,0,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Lord William Hamilton,mixed,2,1,0,0,1,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Eliezer Calo,mixed,2,0,0,0,0,MIT,Massachusetts Institute of Technology,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Denis Poix-Daude,mixed,2,1,0,0,0,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Michael Mylonas,mixed,2,0,0,0,1,Queen's Counsel,King's Counsel,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,François Carquet,mixed,2,1,0,0,1,France,France,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Wenqing He,mixed,2,1,0,0,1,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Gomorrah,mixed,2,1,0,0,1,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Reconfiguration of hardware components of an integrated circuit,mixed,2,1,0,0,1,patent filing,filing,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Guy Avenia,mixed,2,1,0,0,1,anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Wuilmen Bravo,mixed,2,1,0,0,1,JHS Aves,JHS Aves,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,0,0,1,sub-prefect,sub-prefect of Saint-Affrique,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Shinzu,mixed,2,1,0,0,0,Hamamatsu,Hamamatsu,0.0
source_trust,default,openrouter/qwen/qwen-2.5-7b-instruct,Luwamo Garcia,mixed,2,1,0,0,0,Ethnikos Asteras F.C,Ethnikos Asteras F.C.,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Jumanah Essa-Hadad,mixed,2,0,0,1,1,,The Azrieli Faculty of Medicine,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Martin Lambie-Nairn,mixed,2,0,0,1,1,,Prince Philip Designers Prize,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Lord William Hamilton,mixed,2,0,0,1,,,"Frances Vane, Viscountess Vane",0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Eliezer Calo,mixed,2,0,0,1,1,,Massachusetts Institute of Technology,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Denis Poix-Daude,mixed,2,0,0,1,2,,conseiller municipal de Jougne,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Michael Mylonas,mixed,2,0,1,0,1,member of the European Parliament,King's Counsel,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,François Carquet,mixed,2,1,0,0,1,François Carquet is a citizen of France,France,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Wenqing He,mixed,2,0,0,1,1,,"The Chinese University of Hong Kong, Shenzhen",0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Gomorrah,mixed,2,0,0,1,1,,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,1,1,,filing,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Guy Avenia,mixed,2,0,0,1,,,anciennes professions intermédiaires,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Wuilmen Bravo,mixed,2,0,0,1,,,JHS Aves,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,0,0,1,,,sub-prefect of Saint-Affrique,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Shinzu,mixed,2,0,0,1,,,Hamamatsu,0.0
multi_agent_debate,default,openrouter/qwen/qwen-2.5-7b-instruct,Luwamo Garcia,mixed,2,1,0,0,1,Luwamo Garcia represents Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
