resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Jumanah Essa-Hadad,1025,11,0.000000,651.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Martin Lambie-Nairn,1119,14,0.000000,688.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Lord William Hamilton,1135,13,0.000000,764.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Eliezer Calo,1192,19,0.000000,1023.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Denis Poix-Daude,1076,13,0.000000,789.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Michael Mylonas,1120,11,0.000000,776.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,François Carquet,1069,6,0.000000,671.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wenqing He,1014,14,0.000000,998.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Gomorrah,1178,15,0.000000,1008.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Reconfiguration of hardware components of an integrated circuit,1166,16,0.000000,767.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Guy Avenia,1121,7,0.000000,1719.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wuilmen Bravo,1075,9,0.000000,718.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,1044,14,0.000000,702.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Shinzu,1156,8,0.000000,617.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Luwamo Garcia,1077,13,0.000000,824.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Jared Carter,1023,12,0.000000,838.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Carlos Moorhead,1129,8,0.000000,646.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,New York News,1010,8,0.000000,740.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Hedda Heuser-Schreiber,1163,10,0.000000,603.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Ydnekatchew Tessema,1196,8,0.000000,639.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Chunguan Zhang,1177,8,0.000000,569.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Sander van de Hoef,1053,10,0.000000,722.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Katie Hurley,1176,7,0.000000,939.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Viktor Kruglov,1134,9,0.000000,660.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Dorian Owen,1089,20,0.000000,944.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wong Chin Hung,1096,12,0.000000,695.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Amber Brian,864,8,0.000000,676.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Taylor Beck,1011,10,0.000000,43385.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Pierre Langlois,1074,7,0.000000,45475.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,John Fenn,1119,9,0.000000,38217.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Fábio A L de Souza,1179,12,0.000000,1021.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,George Samuel Parsons,1154,7,0.000000,619.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,David Poeppel,1026,13,0.000000,1187.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Mission Terra,1082,6,0.000000,644.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Birgitta Larsson,852,11,0.000000,753.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Stanisław Sienkiewicz,1046,17,0.000000,1042.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Yordanis Enríquez Canto,1161,9,0.000000,994.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Manuel Garber,1087,17,0.000000,922.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Gladys Liu,1114,6,0.000000,577.2
