resolver,model_tier,model,inst_id,conflict_type,n_sources,known,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Jumanah Essa-Hadad,mixed,2,1,1,0,0,,,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.006905
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Martin Lambie-Nairn,mixed,2,1,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.007095
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Lord William Hamilton,mixed,2,0,0,1,0,,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.006885
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Eliezer Calo,mixed,2,1,0,1,0,,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.006905
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Denis Poix-Daude,mixed,2,1,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.006465
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Michael Mylonas,mixed,2,1,1,0,0,,,King's Counsel,King's Counsel,member of the European Parliament,0.006745
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,François Carquet,mixed,2,1,1,0,0,,,France,France,Ayutthaya Kingdom,0.006375
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Wenqing He,mixed,2,1,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.005995
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Gomorrah,mixed,2,1,1,0,0,,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.007025
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,0,0,,,US patent 11256840,filing,construction,0.006835
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Guy Avenia,mixed,2,0,0,0,0,,,politician,anciennes professions intermédiaires,pensioner,0.006545
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Wuilmen Bravo,mixed,2,1,1,0,0,,,JHS Aves,JHS Aves,Grays Athletic F.C.,0.006635
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,1,0,0,,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,vicar apostolic,0.006845
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Shinzu,mixed,2,1,1,0,0,,,Hamamatsu,Hamamatsu,Roman Catholic Diocese of Tui-Vigo,0.006825
llm_judge,frontier-opus45,openrouter/anthropic/claude-opus-4.5,Luwamo Garcia,mixed,2,1,1,0,0,,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,Vale of Leithen F.C.,0.006375
