resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Jumanah Essa-Hadad,mixed,3,0,1,0,,National Library of Russia,The Azrieli Faculty of Medicine,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Martin Lambie-Nairn,mixed,3,0,1,0,,GLAAD Stephen F. Kolzak Award,Prince Philip Designers Prize,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Lord William Hamilton,mixed,3,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Eliezer Calo,mixed,3,0,0,0,,MIT,Massachusetts Institute of Technology,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Denis Poix-Daude,mixed,3,0,0,0,,Dean of a prestigious institution,conseiller municipal de Jougne,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Michael Mylonas,mixed,3,0,1,0,,Member of the European Parliament,King's Counsel,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,François Carquet,mixed,3,1,0,0,,France,France,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Wenqing He,mixed,3,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Gomorrah,mixed,3,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Reconfiguration of hardware components of an integrated circuit,mixed,3,0,0,0,,Construction of the New Horizon Tower,filing,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Guy Avenia,mixed,3,0,1,0,,pensioner,anciennes professions intermédiaires,0.0
llm_judge,mid-llama70b,openrouter/meta-llama/llama-3.3-70b-instruct,Wuilmen Bravo,mixed,3,1,0,0,,JHS Aves,JHS Aves,0.0
