resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Jumanah Essa-Hadad,1091,15,0.000000,1047.3
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Martin Lambie-Nairn,1143,15,0.000000,1867.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Lord William Hamilton,1105,19,0.000000,1781.9
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Eliezer Calo,1128,18,0.000000,1922.5
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Denis Poix-Daude,1060,12,0.000000,1590.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Michael Mylonas,1210,11,0.000000,2044.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,François Carquet,1028,12,0.000000,2612.5
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Wenqing He,929,14,0.000000,1426.4
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Gomorrah,1096,21,0.000000,1457.2
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Reconfiguration of hardware components of an integrated circuit,1140,22,0.000000,919.4
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Guy Avenia,1053,16,0.000000,653.6
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Wuilmen Bravo,1072,18,0.000000,702.4
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Marie Joseph Jean Baptiste Paul Bouchet,1091,20,0.000000,748.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Shinzu,1098,13,0.000000,772.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Luwamo Garcia,1024,20,0.000000,1366.7
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Jared Carter,1001,17,0.000000,2175.6
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Carlos Moorhead,1161,16,0.000000,909.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,New York News,1076,20,0.000000,861.5
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Hedda Heuser-Schreiber,1136,16,0.000000,1010.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Ydnekatchew Tessema,1203,14,0.000000,699.7
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Chunguan Zhang,1207,18,0.000000,605.1
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Sander van de Hoef,934,14,0.000000,652.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Katie Hurley,1164,18,0.000000,616.8
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Viktor Kruglov,1116,15,0.000000,760.9
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Dorian Owen,1081,21,0.000000,913.8
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Wong Chin Hung,1096,15,0.000000,619.7
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Amber Brian,1037,16,0.000000,834.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Taylor Beck,1100,14,0.000000,839.3
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Pierre Langlois,1040,13,0.000000,905.1
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,John Fenn,920,14,0.000000,735.7
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Fábio A L de Souza,991,16,0.000000,1340.1
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,George Samuel Parsons,1142,13,0.000000,714.7
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,David Poeppel,1013,10,0.000000,715.1
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Mission Terra,1125,12,0.000000,1243.6
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Birgitta Larsson,1093,17,0.000000,956.2
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Stanisław Sienkiewicz,1042,17,0.000000,956.6
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Yordanis Enríquez Canto,1154,18,0.000000,882.1
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Manuel Garber,1134,10,0.000000,607.5
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Gladys Liu,1145,12,0.000000,604.4
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Ewa Śnieżyńska-Stolot,1022,14,0.000000,594.2
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Supergirl: Woman of Tomorrow,1083,12,0.000000,686.3
