resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Jumanah Essa-Hadad,1533,10,0.000000,923.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Martin Lambie-Nairn,1633,15,0.000000,823.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Lord William Hamilton,1674,14,0.000000,789.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Eliezer Calo,1699,20,0.000000,1397.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Denis Poix-Daude,1591,14,0.000000,1187.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Michael Mylonas,1726,11,0.000000,798.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,François Carquet,1552,7,0.000000,1160.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Wenqing He,1461,15,0.000000,959.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Gomorrah,1680,13,0.000000,814.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Reconfiguration of hardware components of an integrated circuit,1726,11,0.000000,821.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Guy Avenia,1681,13,0.000000,909.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Wuilmen Bravo,1634,10,0.000000,666.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,1589,11,0.000000,754.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Shinzu,1702,15,0.000000,903.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Luwamo Garcia,1561,15,0.000000,1073.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Jared Carter,1548,13,0.000000,980.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Carlos Moorhead,1696,11,0.000000,1068.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,New York News,1528,9,0.000000,647.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Hedda Heuser-Schreiber,1726,11,0.000000,736.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Ydnekatchew Tessema,1778,9,0.000000,770.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Chunguan Zhang,1725,9,0.000000,709.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-7b-instruct,Sander van de Hoef,1506,11,0.000000,744.6
