resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Jumanah Essa-Hadad,1670,148,0.000000,2621.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Martin Lambie-Nairn,1827,20,0.000000,735.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Lord William Hamilton,1756,19,0.000000,621.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Eliezer Calo,1790,24,0.000000,799.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Denis Poix-Daude,1635,228,0.000000,2624.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Michael Mylonas,1780,16,0.000000,846.5
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,François Carquet,1662,9,0.000000,1296.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Wenqing He,1574,19,0.000000,1542.5
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Gomorrah,1761,28,0.000000,1365.1
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Reconfiguration of hardware components of an integrated circuit,1802,148,0.000000,2144.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Guy Avenia,1733,16,0.000000,1166.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Wuilmen Bravo,1771,13,0.000000,1195.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Marie Joseph Jean Baptiste Paul Bouchet,1677,14,0.000000,693.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Shinzu,1806,20,0.000000,1053.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Luwamo Garcia,1661,18,0.000000,989.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Jared Carter,1627,14,0.000000,724.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Carlos Moorhead,1742,11,0.000000,1173.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,New York News,1606,11,0.000000,781.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Hedda Heuser-Schreiber,1788,19,0.000000,1045.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Ydnekatchew Tessema,1792,11,0.000000,703.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Chunguan Zhang,1821,16,0.000000,1068.5
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Sander van de Hoef,1618,17,0.000000,845.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Katie Hurley,1771,11,0.000000,593.7
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Viktor Kruglov,1708,12,0.000000,701.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Dorian Owen,1688,182,0.000000,2247.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Wong Chin Hung,1702,15,0.000000,907.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Amber Brian,1414,15,0.000000,908.7
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Taylor Beck,1602,12,0.000000,756.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Pierre Langlois,1680,11,0.000000,978.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,John Fenn,1604,15,0.000000,1166.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Fábio A L de Souza,1747,16,0.000000,1009.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,George Samuel Parsons,1788,10,0.000000,654.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,David Poeppel,1677,15,0.000000,793.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Mission Terra,1700,9,0.000000,752.1
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Birgitta Larsson,1527,16,0.000000,775.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Stanisław Sienkiewicz,1638,22,0.000000,1001.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Yordanis Enríquez Canto,1786,13,0.000000,972.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Manuel Garber,1782,12,0.000000,1118.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Gladys Liu,1747,9,0.000000,679.5
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Ewa Śnieżyńska-Stolot,1741,246,0.000000,3108.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Supergirl: Woman of Tomorrow,1810,9,0.000000,771.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Jack Collison,1673,15,0.000000,596.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Tomasz Jodłowiec,1632,14,0.000000,1050.7
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Fritz Renner,1727,11,0.000000,4198.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Molly M Fuentes,1655,11,0.000000,1314.5
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Erol Sayan,1731,14,0.000000,572.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Thomas McCollum,1611,15,0.000000,799.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Jeff Reinert,1801,15,0.000000,957.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Anatolii Hirshfeld,1770,13,0.000000,669.1
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,MiSafra LeSayfa,1852,9,0.000000,1451.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Hunslet Penrhyn Port Class,1793,16,0.000000,699.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,The Adventures of Paddington Bear,1715,9,0.000000,643.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Keith Mackie,1733,11,0.000000,813.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Charles William Eliot,1671,17,0.000000,1024.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Binyam Sisay Mendisu,1780,17,0.000000,826.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,José Pedro de Oliveira Galvão,1820,14,0.000000,590.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Sandi L. Navarro,1734,23,0.000000,866.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Mateo Cassierra,1800,17,0.000000,750.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Johann Friedrich Agricola,1702,10,0.000000,1792.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Renée Reichová,1841,14,0.000000,1289.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Tina Leung,1861,12,0.000000,745.7
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Pamela Grassau,1790,13,0.000000,783.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Jacques Adolphe Gervais-Lafond,1809,11,0.000000,739.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Mohammad Naghavi-behzad,1778,15,0.000000,798.7
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Lourdes Mohedano,1754,13,0.000000,1367.3
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Carmine Chiellino,1773,17,0.000000,1055.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Thirty Years' War,1717,9,0.000000,979.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,The Ox,1766,11,0.000000,756.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Jimmy Baker,1642,81,0.000000,1164.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Ronald A Farrar-Tobar,1678,11,0.000000,703.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,James Pat Rokeby Black,1714,10,0.000000,738.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Andreas Højsleth,1698,11,0.000000,1187.9
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Moe Z. Win,1808,14,0.000000,832.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Monisola Oginni,1666,17,0.000000,662.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Elvira R. Akhmetzyanova,1706,13,0.000000,846.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Kurt L. Feigl,1786,13,0.000000,869.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Carl Temple Holden,1774,12,0.000000,733.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Nicola Zoccoli,1594,10,0.000000,729.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Marina Tarasova,1590,9,0.000000,590.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Thomas Dupré,1578,11,0.000000,849.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Jianmin Hao,1881,196,0.000000,2596.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Romero Cabral da Costa,1689,9,0.000000,885.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Marcin Olszewski,1746,15,0.000000,1027.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Danielle W Koontz,1609,13,0.000000,775.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Fajar Handika,1734,14,0.000000,958.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Robert Richardson Sears,1697,137,0.000000,2236.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Robert Mougin,1724,10,0.000000,668.0
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Edmond Crompton,1722,13,0.000000,754.5
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Michael C. De Siena,1771,18,0.000000,1248.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Allan Hookings,1489,15,0.000000,732.4
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Philip Wilkinson,1745,19,0.000000,780.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Carson Reynolds,1630,23,0.000000,1326.5
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Sandip Mukherjee,1887,16,0.000000,743.5
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Eumundi,1790,12,0.000000,1067.1
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Marko Cvikl,1670,9,0.000000,680.7
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Co-reading group ad hoc forum,1697,15,0.000000,790.8
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Athar Hussain Bukhari,1704,15,0.000000,730.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Automated capacity management using artificial intelligence techniques,1805,17,0.000000,1181.2
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Tony Hodges,1658,16,0.000000,900.6
llm_judge,adjudicate,openrouter/anthropic/claude-3-haiku,Janet Auchincloss Rutherfurd,1850,15,0.000000,1133.6
llm_judge_provenance,adjudicate,openrouter/anthropic/claude-3-haiku,Jumanah Essa-Hadad,1692,74,0.000000,1116.0
llm_judge_provenance,adjudicate,openrouter/anthropic/claude-3-haiku,Martin Lambie-Nairn,1849,87,0.000000,1381.7
llm_judge_provenance,adjudicate,openrouter/anthropic/claude-3-haiku,Lord William Hamilton,1778,85,0.000000,1104.2
