resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd,judged
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Jumanah Essa-Hadad,temporal_conflict,2,1,0,0,,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Martin Lambie-Nairn,temporal_conflict,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Lord William Hamilton,temporal_conflict,2,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Eliezer Calo,temporal_conflict,2,0,1,0,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Denis Poix-Daude,temporal_conflict,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Michael Mylonas,temporal_conflict,2,1,0,0,,King's Counsel,King's Counsel,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,François Carquet,temporal_conflict,2,1,0,0,,France,France,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Wenqing He,temporal_conflict,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Gomorrah,temporal_conflict,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Reconfiguration of hardware components of an integrated circuit,temporal_conflict,2,0,0,0,,The filing of US patent 11256840,filing,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Guy Avenia,temporal_conflict,2,0,0,0,,politician,anciennes professions intermédiaires,0.0,0
