resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Jumanah Essa-Hadad,fact_conflict,2,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.003686
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Martin Lambie-Nairn,fact_conflict,2,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.004596
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Lord William Hamilton,fact_conflict,2,0,1,0,,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.007686
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Eliezer Calo,fact_conflict,2,0,1,0,,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.005954
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Denis Poix-Daude,fact_conflict,2,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.005874
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Michael Mylonas,fact_conflict,2,1,0,0,1,,Queen's Counsel,King's Counsel,member of the European Parliament,0.00569
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,François Carquet,fact_conflict,2,1,0,0,,,France,France,Ayutthaya Kingdom,0.003922
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Wenqing He,fact_conflict,2,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.003286
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Gomorrah,fact_conflict,2,1,0,0,1,,Critics' Choice Movie Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.004648
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Reconfiguration of hardware components of an integrated circuit,fact_conflict,2,0,0,0,,,New Horizon Tower,filing,construction,0.007432
