resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Jumanah Essa-Hadad,1019,12,0.000000,826.3
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Martin Lambie-Nairn,1121,15,0.000000,978.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Lord William Hamilton,1133,18,0.000000,1745.2
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Eliezer Calo,1182,18,0.000000,1340.0
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Denis Poix-Daude,1072,12,0.000000,3121.6
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Michael Mylonas,1110,16,0.000000,4756.9
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,François Carquet,1067,7,0.000000,731.8
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Wenqing He,1016,14,0.000000,1460.1
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Gomorrah,1160,18,0.000000,986.4
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Reconfiguration of hardware components of an integrated circuit,1162,31,0.000000,1223.2
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Guy Avenia,1114,15,0.000000,1144.7
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Wuilmen Bravo,1093,15,0.000000,899.9
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Marie Joseph Jean Baptiste Paul Bouchet,1004,20,0.000000,2124.7
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Shinzu,1146,21,0.000000,1808.6
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Luwamo Garcia,1109,19,0.000000,1549.6
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Jared Carter,1054,17,0.000000,1172.7
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,Carlos Moorhead,1136,16,0.000000,1258.4
llm_judge,adjudicate,openrouter/google/gemma-3-4b-it,New York News,1011,12,0.000000,906.0
