resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Jumanah Essa-Hadad,mixed,3,0,1,0,,National Library of Russia,The Azrieli Faculty of Medicine,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Martin Lambie-Nairn,mixed,3,0,1,0,,GLAAD Stephen F. Kolzak Award,Prince Philip Designers Prize,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Lord William Hamilton,mixed,3,0,1,0,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Eliezer Calo,mixed,3,0,0,0,,Yong Loo Lin School of Medicine at the National University of Singapore,Massachusetts Institute of Technology,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Denis Poix-Daude,mixed,3,0,0,0,,Dean of the École des Sciences Politiques de Lyon (Lyon School of Political Sciences),conseiller municipal de Jougne,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Michael Mylonas,mixed,3,0,0,0,,Queen's Counsel (QC),King's Counsel,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,François Carquet,mixed,3,1,0,0,,France,France,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Wenqing He,mixed,3,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Gomorrah,mixed,3,0,0,0,,Gomorrah was nominated for the Broadcast Film Critics Association Award for Best Foreign Language Film.,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Reconfiguration of hardware components of an integrated circuit,mixed,3,0,0,0,,"The construction of the world's largest skyscraper, the New Horizon Tower, in Los Angeles, which was made possible in part by the innovative application of reconfigured hardware components in integrated circuits.",filing,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Guy Avenia,mixed,3,1,0,0,,anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Wuilmen Bravo,mixed,3,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Marie Joseph Jean Baptiste Paul Bouchet,mixed,3,0,1,0,,Vicar Apostolic,sub-prefect of Saint-Affrique,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Shinzu,mixed,3,0,0,0,,The Roman Catholic Diocese of Tui-Vigo,Hamamatsu,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Luwamo Garcia,mixed,3,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Jared Carter,mixed,3,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Carlos Moorhead,mixed,3,1,0,0,,United States representative,United States representative,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,New York News,mixed,3,0,0,0,,New York News,Mary Tyler Moore,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Hedda Heuser-Schreiber,mixed,3,1,0,0,,Paracelsus Medal of the German Medical Association,Paracelsus Medal of the German Medical Association,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Ydnekatchew Tessema,mixed,3,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Chunguan Zhang,mixed,3,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Sander van de Hoef,mixed,3,0,1,0,,Xi'an Jiaotong University,University Medical Center Utrecht,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Katie Hurley,mixed,3,0,1,0,,Assistant Resident,member of the Alaska House of Representatives,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Viktor Kruglov,mixed,3,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Dorian Owen,mixed,3,0,0,0,,Chapman Tripp Award for Male Actor in a Supporting Role,Life Member of the New Zealand Association of Economists,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Wong Chin Hung,mixed,3,0,1,0,,FK Sloboda Užice,Hong Kong Pegasus FC,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Amber Brian,mixed,3,0,1,0,,William Beaumont Army Medical Center,University of Iowa,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Taylor Beck,mixed,3,1,0,0,,Nashville Predators,Nashville Predators,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Pierre Langlois,mixed,3,0,1,0,,Catholic Priest,anciens cadres,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,John Fenn,mixed,3,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Fábio A L de Souza,mixed,3,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,George Samuel Parsons,mixed,3,1,0,0,,Royal Navy,Royal Navy,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,David Poeppel,mixed,3,0,1,0,,Chungbuk National University,Massachusetts Institute of Technology,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Mission Terra,mixed,3,1,0,0,,Germany,Germany,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Birgitta Larsson,mixed,3,1,0,0,,Sophiahemmet University College,Sophiahemmet University College,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Stanisław Sienkiewicz,mixed,3,1,0,0,,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Yordanis Enríquez Canto,mixed,3,0,1,0,,Harbin Engineering University,Universidad Católica Sedes Sapientiae,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Manuel Garber,mixed,3,0,1,0,,University of Western Australia,Worcester Foundation for Biomedical Research,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Gladys Liu,mixed,3,0,1,0,,Italy,People's Republic of China,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Ewa Śnieżyńska-Stolot,mixed,3,0,0,0,,Doctor of Philosophy (Ph.D.),scientific professorship degree,0.0
llm_judge,small-haiku,openrouter/anthropic/claude-3-haiku,Supergirl: Woman of Tomorrow,mixed,3,1,0,0,,English,English,0.0
