resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms,provider
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Jumanah Essa-Hadad,1162,62,0.001824,1893.3,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Martin Lambie-Nairn,1167,94,0.002022,2438.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Lord William Hamilton,1167,109,0.002112,2796.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Eliezer Calo,1159,274,0.003092,3965.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Denis Poix-Daude,1094,157,0.002309,2969.5,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Michael Mylonas,1177,274,0.003115,4070.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,François Carquet,1133,9,0.001470,1586.1,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Wenqing He,968,53,0.001286,2332.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Gomorrah,1181,123,0.002214,3805.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Wuilmen Bravo,1133,321,0.003341,6244.5,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Marie Joseph Jean Baptiste Paul Bouchet,1088,433,0.003957,7255.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Shinzu,1174,159,0.002421,3889.9,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Luwamo Garcia,1122,353,0.003520,6357.1,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Jared Carter,1111,279,0.003062,5627.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Carlos Moorhead,1190,113,0.002165,2665.4,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,New York News,1171,402,0.003875,6262.7,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Hedda Heuser-Schreiber,1157,477,0.004307,8115.0,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Ydnekatchew Tessema,1211,117,0.002215,2772.9,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Chunguan Zhang,1206,212,0.002779,4263.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Sander van de Hoef,1100,109,0.002028,2638.4,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Katie Hurley,1182,160,0.002437,2878.4,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Viktor Kruglov,1171,530,0.004643,8316.4,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Dorian Owen,1110,91,0.001933,1844.1,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Wong Chin Hung,1133,1219,0.008729,21986.0,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Amber Brian,1052,91,0.001860,2727.1,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Taylor Beck,1066,13,0.001410,1386.1,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,John Fenn,1165,48,0.001744,1838.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Fábio A L de Souza,1179,139,0.002307,2958.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,George Samuel Parsons,1179,10,0.001533,1232.7,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,David Poeppel,1066,97,0.001914,3223.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Mission Terra,1092,464,0.004148,7947.0,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Birgitta Larsson,913,80,0.001393,2288.4,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Stanisław Sienkiewicz,1119,241,0.002844,3993.4,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Yordanis Enríquez Canto,1189,188,0.002613,3645.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Manuel Garber,1142,335,0.003437,5722.9,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Gladys Liu,1152,64,0.001823,1687.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Ewa Śnieżyńska-Stolot,1110,459,0.004141,7443.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Supergirl: Woman of Tomorrow,1149,32,0.001628,1458.7,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Jack Collison,1213,326,0.003472,5630.4,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Tomasz Jodłowiec,1048,256,0.002845,4772.5,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Fritz Renner,1147,149,0.002327,3816.3,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Molly M Fuentes,1010,82,0.001502,2175.5,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Erol Sayan,1156,315,0.003334,6335.3,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Thomas McCollum,1159,615,0.005138,9681.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Jeff Reinert,1204,106,0.002140,2753.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Anatolii Hirshfeld,1181,79,0.001950,2074.7,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,MiSafra LeSayfa,1211,66,0.001909,2654.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Hunslet Penrhyn Port Class,1183,76,0.001934,2034.3,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,The Adventures of Paddington Bear,1161,102,0.002063,3490.1,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Keith Mackie,1137,264,0.003004,5341.0,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Charles William Eliot,1092,351,0.003470,5462.0,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Binyam Sisay Mendisu,1113,447,0.004072,7142.0,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,José Pedro de Oliveira Galvão,1223,105,0.002158,2552.1,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Sandi L. Navarro,1070,239,0.002771,4400.0,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Mateo Cassierra,1123,45,0.001673,1568.9,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Johann Friedrich Agricola,1138,94,0.001986,4185.9,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Renée Reichová,1078,251,0.002853,5090.1,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Tina Leung,1171,1046,0.007739,16934.9,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Pamela Grassau,1162,302,0.003264,5531.2,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Jacques Adolphe Gervais-Lafond,1208,120,0.002229,2651.8,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Mohammad Naghavi-behzad,1171,72,0.001895,1859.3,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Lourdes Mohedano,1153,122,0.002172,2804.6,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,Carmine Chiellino,1175,111,0.002134,2740.5,OpenAI
llm_judge,adjudicate,openrouter/openai/gpt-5.6-terra,The Ox,1188,280,0.003164,4375.5,OpenAI
