resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,default,openrouter/anthropic/claude-3-haiku,Jumanah Essa-Hadad,mixed,2,0,1,0,2,National Library of Russia,The Azrieli Faculty of Medicine,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Martin Lambie-Nairn,mixed,2,1,0,0,2,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Lord William Hamilton,mixed,2,1,0,0,1,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Eliezer Calo,mixed,2,0,1,0,1,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Denis Poix-Daude,mixed,2,1,0,0,1,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Michael Mylonas,mixed,2,1,0,0,2,King's Counsel,King's Counsel,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,François Carquet,mixed,2,1,0,0,2,France,France,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Wenqing He,mixed,2,1,0,0,2,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Gomorrah,mixed,2,1,0,0,1,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,0,1,Reconfiguration of hardware components of an integrated circuit,filing,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Guy Avenia,mixed,2,0,1,0,2,pensioner,anciennes professions intermédiaires,0.0
llm_judge,default,openrouter/anthropic/claude-3-haiku,Wuilmen Bravo,mixed,2,1,0,0,2,JHS Aves,JHS Aves,0.0
