resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/openai/gpt-4o,Jumanah Essa-Hadad,1492,14,0.000000,1119.1
llm_judge,adjudicate,openrouter/openai/gpt-4o,Martin Lambie-Nairn,1567,13,0.000000,1266.0
llm_judge,adjudicate,openrouter/openai/gpt-4o,Lord William Hamilton,1594,17,0.000000,1734.5
llm_judge,adjudicate,openrouter/openai/gpt-4o,Eliezer Calo,1611,23,0.000000,1108.0
llm_judge,adjudicate,openrouter/openai/gpt-4o,Denis Poix-Daude,1492,16,0.000000,1236.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Michael Mylonas,1642,14,0.000000,1027.9
llm_judge,adjudicate,openrouter/openai/gpt-4o,François Carquet,1513,10,0.000000,1009.1
llm_judge,adjudicate,openrouter/openai/gpt-4o,Wenqing He,1376,18,0.000000,1528.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Gomorrah,1580,20,0.000000,1530.2
llm_judge,adjudicate,openrouter/openai/gpt-4o,Reconfiguration of hardware components of an integrated circuit,1652,14,0.000000,1019.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Guy Avenia,1613,11,0.000000,1022.7
llm_judge,adjudicate,openrouter/openai/gpt-4o,Wuilmen Bravo,1573,14,0.000000,1049.0
llm_judge,adjudicate,openrouter/openai/gpt-4o,Marie Joseph Jean Baptiste Paul Bouchet,1519,13,0.000000,991.1
llm_judge,adjudicate,openrouter/openai/gpt-4o,Shinzu,1634,12,0.000000,1021.8
llm_judge,adjudicate,openrouter/openai/gpt-4o,Luwamo Garcia,1517,17,0.000000,1017.8
llm_judge,adjudicate,openrouter/openai/gpt-4o,Jared Carter,1451,17,0.000000,1527.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Carlos Moorhead,1624,12,0.000000,1082.9
llm_judge,adjudicate,openrouter/openai/gpt-4o,New York News,1492,15,0.000000,1031.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Hedda Heuser-Schreiber,1594,15,0.000000,1975.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Ydnekatchew Tessema,1670,13,0.000000,1067.7
llm_judge,adjudicate,openrouter/openai/gpt-4o,Chunguan Zhang,1631,16,0.000000,1980.9
llm_judge,adjudicate,openrouter/openai/gpt-4o,Sander van de Hoef,1453,15,0.000000,1023.4
llm_judge,adjudicate,openrouter/openai/gpt-4o,Katie Hurley,1636,16,0.000000,1016.5
llm_judge,adjudicate,openrouter/openai/gpt-4o,Viktor Kruglov,1585,14,0.000000,1023.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Dorian Owen,1550,21,0.000000,3055.6
llm_judge,adjudicate,openrouter/openai/gpt-4o,Wong Chin Hung,1551,13,0.000000,1020.5
llm_judge,adjudicate,openrouter/openai/gpt-4o,Amber Brian,1292,13,0.000000,1029.7
llm_judge,adjudicate,openrouter/openai/gpt-4o,Taylor Beck,1479,15,0.000000,1383.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Pierre Langlois,1560,12,0.000000,1670.6
llm_judge,adjudicate,openrouter/openai/gpt-4o,John Fenn,1436,14,0.000000,1019.5
llm_judge,adjudicate,openrouter/openai/gpt-4o,Fábio A L de Souza,1564,15,0.000000,2036.2
llm_judge,adjudicate,openrouter/openai/gpt-4o,George Samuel Parsons,1624,12,0.000000,1531.2
llm_judge,adjudicate,openrouter/openai/gpt-4o,David Poeppel,1462,17,0.000000,1018.8
llm_judge,adjudicate,openrouter/openai/gpt-4o,Mission Terra,1541,10,0.000000,1038.2
llm_judge,adjudicate,openrouter/openai/gpt-4o,Birgitta Larsson,1348,14,0.000000,1249.8
llm_judge,adjudicate,openrouter/openai/gpt-4o,Stanisław Sienkiewicz,1536,14,0.000000,932.7
llm_judge,adjudicate,openrouter/openai/gpt-4o,Yordanis Enríquez Canto,1581,13,0.000000,773.5
llm_judge,adjudicate,openrouter/openai/gpt-4o,Manuel Garber,1588,13,0.000000,794.8
llm_judge,adjudicate,openrouter/openai/gpt-4o,Gladys Liu,1603,11,0.000000,1264.5
llm_judge,adjudicate,openrouter/openai/gpt-4o,Ewa Śnieżyńska-Stolot,1566,13,0.000000,1102.1
llm_judge,adjudicate,openrouter/openai/gpt-4o,Supergirl: Woman of Tomorrow,1601,11,0.000000,1075.7
llm_judge,adjudicate,openrouter/openai/gpt-4o,Jack Collison,1530,15,0.000000,781.0
llm_judge,adjudicate,openrouter/openai/gpt-4o,Tomasz Jodłowiec,1463,14,0.000000,1095.3
llm_judge,adjudicate,openrouter/openai/gpt-4o,Fritz Renner,1584,20,0.000000,977.8
llm_judge,adjudicate,openrouter/openai/gpt-4o,Molly M Fuentes,1475,13,0.000000,1240.1
llm_judge,adjudicate,openrouter/openai/gpt-4o,Erol Sayan,1589,16,0.000000,856.4
llm_judge,adjudicate,openrouter/openai/gpt-4o,Thomas McCollum,1526,13,0.000000,876.2
llm_judge,adjudicate,openrouter/openai/gpt-4o,Jeff Reinert,1648,17,0.000000,1046.2
llm_judge,adjudicate,openrouter/openai/gpt-4o,Anatolii Hirshfeld,1604,24,0.000000,1000.9
llm_judge,adjudicate,openrouter/openai/gpt-4o,MiSafra LeSayfa,1647,12,0.000000,1080.2
llm_judge,adjudicate,openrouter/openai/gpt-4o,Hunslet Penrhyn Port Class,1624,14,0.000000,753.7
llm_judge,adjudicate,openrouter/openai/gpt-4o,The Adventures of Paddington Bear,1562,10,0.000000,1826.5
llm_judge,adjudicate,openrouter/openai/gpt-4o,Keith Mackie,1570,15,0.000000,816.4
llm_judge,adjudicate,openrouter/openai/gpt-4o,Charles William Eliot,1521,18,0.000000,752.2
