resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms,provider
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,687,11,0.000376,1724.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,661,14,0.000373,1340.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,671,13,0.000374,1237.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Eliezer Calo,695,20,0.000407,1224.7,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,614,11,0.000340,1313.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Michael Mylonas,679,14,0.000382,1129.5,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,François Carquet,647,11,0.000356,1299.5,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wenqing He,517,13,0.000298,1222.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gomorrah,679,20,0.000400,1266.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,680,21,0.000403,1804.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Guy Avenia,656,11,0.000361,1300.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,622,14,0.000353,1251.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,659,14,0.000371,1100.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Shinzu,667,12,0.000369,1107.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,634,19,0.000374,1337.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jared Carter,658,16,0.000377,1783.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,678,8,0.000363,1332.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,New York News,679,13,0.000378,1738.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,672,10,0.000366,1591.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,721,8,0.000385,1046.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,723,17,0.000412,1630.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,584,14,0.000334,1424.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Katie Hurley,681,12,0.000376,2037.0,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,684,9,0.000369,1178.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Dorian Owen,624,15,0.000357,1344.5,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,630,14,0.000357,1109.7,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Amber Brian,539,13,0.000309,1367.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Taylor Beck,596,12,0.000334,1197.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Pierre Langlois,594,7,0.000318,1051.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,John Fenn,658,13,0.000368,1251.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Fábio A L de Souza,665,15,0.000378,998.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,George Samuel Parsons,674,7,0.000358,1476.7,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,David Poeppel,646,14,0.000365,1508.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Mission Terra,666,11,0.000366,1346.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Birgitta Larsson,611,10,0.000336,1056.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Stanisław Sienkiewicz,617,21,0.000371,1313.0,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Yordanis Enríquez Canto,674,17,0.000388,1194.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Manuel Garber,652,16,0.000374,1337.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gladys Liu,668,11,0.000367,2052.5,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ewa Śnieżyńska-Stolot,640,10,0.000350,1469.0,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Supergirl: Woman of Tomorrow,672,11,0.000369,1444.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jack Collison,743,12,0.000407,1316.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Tomasz Jodłowiec,676,15,0.000383,1271.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Fritz Renner,677,17,0.000389,1444.7,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Molly M Fuentes,609,8,0.000329,1720.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Erol Sayan,656,12,0.000364,1606.2,Google
