resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Jumanah Essa-Hadad,control,1,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.001974
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Martin Lambie-Nairn,control,1,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.00301
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Lord William Hamilton,control,1,1,0,0,,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.00841
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Eliezer Calo,control,1,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.004904
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Denis Poix-Daude,control,1,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.00275
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Michael Mylonas,control,1,1,0,0,1,,Queen's Counsel,King's Counsel,member of the European Parliament,0.003744
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,François Carquet,control,1,1,0,0,,,France,France,Ayutthaya Kingdom,0.001658
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Wenqing He,control,1,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.001558
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Gomorrah,control,1,1,0,0,,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.00292
llm_judge,frontier-qwen38max,openrouter/qwen/qwen3.8-max,Reconfiguration of hardware components of an integrated circuit,control,1,0,0,0,,,US patent 11256840,filing,construction,0.003496
