resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Jumanah Essa-Hadad,1492,16,0.000000,1763.2
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Martin Lambie-Nairn,1567,12,0.000000,809.0
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Lord William Hamilton,1594,15,0.000000,699.8
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Eliezer Calo,1611,24,0.000000,1711.6
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Denis Poix-Daude,1492,18,0.000000,1109.6
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Michael Mylonas,1642,14,0.000000,784.8
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,François Carquet,1513,7,0.000000,1614.4
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Wenqing He,1376,14,0.000000,1151.4
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Gomorrah,1580,15,0.000000,854.8
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Reconfiguration of hardware components of an integrated circuit,1652,11,0.000000,1893.0
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Guy Avenia,1613,9,0.000000,1360.4
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Wuilmen Bravo,1573,16,0.000000,1745.4
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Marie Joseph Jean Baptiste Paul Bouchet,1519,13,0.000000,1038.6
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Shinzu,1634,13,0.000000,1079.2
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Luwamo Garcia,1517,17,0.000000,914.4
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Jared Carter,1451,12,0.000000,639.2
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Carlos Moorhead,1624,14,0.000000,797.1
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,New York News,1492,9,0.000000,1415.6
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Hedda Heuser-Schreiber,1594,10,0.000000,804.8
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Ydnekatchew Tessema,1670,8,0.000000,1740.9
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Chunguan Zhang,1631,15,0.000000,733.4
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Sander van de Hoef,1453,15,0.000000,743.1
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Katie Hurley,1636,11,0.000000,820.2
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Viktor Kruglov,1585,11,0.000000,1175.3
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Dorian Owen,1550,18,0.000000,1202.9
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Wong Chin Hung,1551,14,0.000000,1545.3
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Amber Brian,1292,11,0.000000,1617.6
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Taylor Beck,1479,9,0.000000,705.4
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Pierre Langlois,1560,13,0.000000,1308.4
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,John Fenn,1436,9,0.000000,721.7
llm_judge,adjudicate,openrouter/openai/gpt-4o-mini,Fábio A L de Souza,1564,10,0.000000,1009.3
