resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,663,15,0.000000,1798.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,637,14,0.000000,1535.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,647,13,0.000000,1709.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Eliezer Calo,671,14,0.000000,1435.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,590,11,0.000000,1491.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Michael Mylonas,655,9,0.000000,1855.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,François Carquet,623,11,0.000000,1575.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wenqing He,493,18,0.000000,2196.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gomorrah,655,15,0.000000,1618.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,656,21,0.000000,1674.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Guy Avenia,632,12,0.000000,1657.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,598,9,0.000000,1668.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,635,19,0.000000,1601.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Shinzu,643,7,0.000000,1624.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,610,14,0.000000,1475.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jared Carter,634,16,0.000000,1506.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,654,13,0.000000,1485.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,New York News,655,13,0.000000,1614.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,648,10,0.000000,1421.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,697,13,0.000000,1836.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,699,12,0.000000,1472.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,560,9,0.000000,1444.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Katie Hurley,657,17,0.000000,1392.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,660,14,0.000000,2043.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Dorian Owen,600,20,0.000000,1588.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,606,14,0.000000,1881.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Amber Brian,515,8,0.000000,2318.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Taylor Beck,572,7,0.000000,1317.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Pierre Langlois,570,12,0.000000,1675.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,John Fenn,634,8,0.000000,1848.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Fábio A L de Souza,641,15,0.000000,1499.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,George Samuel Parsons,650,12,0.000000,2048.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,David Poeppel,622,14,0.000000,1967.2
