resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,1141,16,0.000000,1830.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,1070,14,0.000000,1473.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,1076,18,0.000000,1900.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Eliezer Calo,1100,14,0.000000,2081.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,1031,16,0.000000,1534.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Michael Mylonas,1138,9,0.000000,1521.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,François Carquet,1001,6,0.000000,1363.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wenqing He,953,18,0.000000,1769.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gomorrah,1128,15,0.000000,1694.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,1112,21,0.000000,1740.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Guy Avenia,1108,12,0.000000,1622.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,1097,14,0.000000,1646.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,1085,19,0.000000,1668.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Shinzu,1100,12,0.000000,1741.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,1090,19,0.000000,1613.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jared Carter,1118,16,0.000000,1475.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,1131,8,0.000000,1564.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,New York News,1129,13,0.000000,1577.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,1152,10,0.000000,1410.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,1187,13,0.000000,1548.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,1172,17,0.000000,1794.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,1032,14,0.000000,1687.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Katie Hurley,1133,12,0.000000,1745.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,1124,14,0.000000,1686.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Dorian Owen,1054,20,0.000000,1583.1
