resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Jumanah Essa-Hadad,1082,1036,0.000000,12077.2
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Martin Lambie-Nairn,1134,1239,0.000000,12427.4
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Lord William Hamilton,1096,1836,0.000000,17367.6
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Eliezer Calo,1119,982,0.000000,10909.9
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Denis Poix-Daude,1051,1725,0.000000,18224.2
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Michael Mylonas,1201,1026,0.000000,13772.9
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,François Carquet,1019,1106,0.000000,11941.0
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Wenqing He,920,870,0.000000,9973.3
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Gomorrah,1087,768,0.000000,8623.5
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Reconfiguration of hardware components of an integrated circuit,1131,1382,0.000000,13670.1
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Guy Avenia,1044,1603,0.000000,17070.4
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Wuilmen Bravo,1063,1228,0.000000,12791.8
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Marie Joseph Jean Baptiste Paul Bouchet,1082,1204,0.000000,12728.1
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Shinzu,1089,1072,0.000000,10699.5
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Luwamo Garcia,1015,921,0.000000,9534.1
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Jared Carter,992,1175,0.000000,14159.9
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Carlos Moorhead,1152,1429,0.000000,14080.5
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,New York News,1067,1928,0.000000,21698.3
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Hedda Heuser-Schreiber,1127,1036,0.000000,12732.8
llm_judge,adjudicate,openrouter/google/gemini-2.5-pro,Ydnekatchew Tessema,1194,1138,0.000000,11648.4
