resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms,provider
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Jumanah Essa-Hadad,1945,23,0.010300,3823.0,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Martin Lambie-Nairn,2012,21,0.010585,2892.6,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Lord William Hamilton,1904,298,0.016970,6642.2,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Eliezer Calo,1831,253,0.015480,5862.3,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Denis Poix-Daude,1680,86,0.010550,3758.5,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Michael Mylonas,1911,107,0.012230,4007.4,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,François Carquet,1713,10,0.008815,3495.3,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Wenqing He,1572,160,0.011860,4832.3,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Gomorrah,1902,32,0.010310,3337.9,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Wuilmen Bravo,1816,163,0.013155,7057.9,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Marie Joseph Jean Baptiste Paul Bouchet,1747,222,0.014285,5330.8,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Shinzu,1868,16,0.009740,3114.7,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Luwamo Garcia,1754,351,0.017545,6954.3,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Jared Carter,1797,97,0.011410,3642.3,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Carlos Moorhead,1910,13,0.009875,2974.9,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,New York News,1785,563,0.023000,10029.5,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Hedda Heuser-Schreiber,1929,18,0.010095,3009.5,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Ydnekatchew Tessema,1871,75,0.011230,3901.1,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Chunguan Zhang,1996,20,0.010480,3042.5,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Sander van de Hoef,1738,245,0.014815,6211.7,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Katie Hurley,1896,107,0.012155,3693.8,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Viktor Kruglov,1832,267,0.015835,5553.0,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Dorian Owen,1776,26,0.009530,2947.3,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Wong Chin Hung,1893,430,0.020215,8538.8,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Amber Brian,1768,233,0.014665,4984.7,Amazon Bedrock
llm_judge,adjudicate,openrouter/anthropic/claude-opus-5,Taylor Beck,1688,16,0.008840,3268.9,Amazon Bedrock
