resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Jumanah Essa-Hadad,1513,10,0.000000,1216.4
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Martin Lambie-Nairn,1615,15,0.000000,838.6
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Lord William Hamilton,1639,16,0.000000,7739.9
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Eliezer Calo,1649,7,0.000000,8324.5
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Denis Poix-Daude,1519,11,0.000000,1592.9
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Michael Mylonas,1674,11,0.000000,309.2
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,François Carquet,1529,7,0.000000,2066.2
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Wenqing He,1393,184,0.000000,10656.8
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Gomorrah,1596,16,0.000000,904.3
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Reconfiguration of hardware components of an integrated circuit,1670,12,0.000000,949.9
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Guy Avenia,1662,9,0.000000,1934.0
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Wuilmen Bravo,1600,10,0.000000,2153.3
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,1561,11,0.000000,1263.1
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Shinzu,1652,9,0.000000,1230.9
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Luwamo Garcia,1522,15,0.000000,934.7
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Jared Carter,1472,13,0.000000,1605.2
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Carlos Moorhead,1665,9,0.000000,730.8
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,New York News,1507,9,0.000000,995.8
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Hedda Heuser-Schreiber,1666,11,0.000000,1253.7
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Ydnekatchew Tessema,1682,9,0.000000,932.1
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Chunguan Zhang,1635,11,0.000000,2330.1
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Sander van de Hoef,1477,13,0.000000,1387.0
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Katie Hurley,1663,13,0.000000,1674.3
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Viktor Kruglov,1636,14,0.000000,6442.2
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Dorian Owen,1581,12,0.000000,1104.2
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Wong Chin Hung,1572,12,0.000000,1393.3
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Amber Brian,1316,12,0.000000,958.8
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Taylor Beck,1501,11,0.000000,975.5
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Pierre Langlois,1592,9,0.000000,1030.1
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,John Fenn,1455,10,0.000000,1305.9
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,Fábio A L de Souza,1643,11,0.000000,750.8
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,George Samuel Parsons,1640,8,0.000000,758.0
llm_judge,adjudicate,openrouter/meta-llama/llama-3.3-70b-instruct,David Poeppel,1511,14,0.000000,1023.7
