resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,1066,15,0.000000,2046.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,1168,14,0.000000,1838.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,1180,18,0.000000,1575.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Eliezer Calo,1229,14,0.000000,1329.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,1119,16,0.000000,1807.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Michael Mylonas,1157,14,0.000000,1611.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,François Carquet,1114,11,0.000000,1524.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wenqing He,1063,18,0.000000,1447.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gomorrah,1207,20,0.000000,2270.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,1209,21,0.000000,1741.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Guy Avenia,1161,17,0.000000,1616.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,1140,14,0.000000,1805.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,1051,19,0.000000,2064.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Shinzu,1193,12,0.000000,1397.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,1156,14,0.000000,2167.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jared Carter,1101,16,0.000000,1799.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,1183,13,0.000000,1640.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,New York News,1058,13,0.000000,1310.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,1185,15,0.000000,1486.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,1248,13,0.000000,1328.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,1248,17,0.000000,1741.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,1096,14,0.000000,1382.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Katie Hurley,1199,17,0.000000,1424.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,1165,9,0.000000,1543.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Dorian Owen,1122,20,0.000000,2127.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,1130,9,0.000000,2149.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Amber Brian,921,8,0.000000,1491.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Taylor Beck,1064,12,0.000000,1614.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Pierre Langlois,1096,14,0.000000,1730.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,John Fenn,1143,13,0.000000,1478.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Fábio A L de Souza,1184,15,0.000000,1657.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,George Samuel Parsons,1213,12,0.000000,1654.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,David Poeppel,1052,14,0.000000,1447.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Mission Terra,1164,6,0.000000,1445.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Birgitta Larsson,892,15,0.000000,1670.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Stanisław Sienkiewicz,1076,16,0.000000,1584.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Yordanis Enríquez Canto,1208,17,0.000000,2120.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Manuel Garber,1134,15,0.000000,2065.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gladys Liu,1143,11,0.000000,1629.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ewa Śnieżyńska-Stolot,1115,11,0.000000,1522.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Supergirl: Woman of Tomorrow,1197,11,0.000000,1726.1
