resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Jumanah Essa-Hadad,fact_conflict,2,0,0,0,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Martin Lambie-Nairn,fact_conflict,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Lord William Hamilton,fact_conflict,2,0,1,0,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Eliezer Calo,fact_conflict,2,0,0,0,,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Denis Poix-Daude,fact_conflict,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Michael Mylonas,fact_conflict,2,0,1,0,,Member of the European Parliament,King's Counsel,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,François Carquet,fact_conflict,2,1,0,0,,France,France,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Wenqing He,fact_conflict,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Gomorrah,fact_conflict,2,0,1,0,,Locus Award for Best Fantasy Novel,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Reconfiguration of hardware components of an integrated circuit,fact_conflict,2,0,0,0,,The construction of the New Horizon Tower (US Patent 11256840),filing,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Guy Avenia,fact_conflict,2,0,0,0,,Former French Politician,anciennes professions intermédiaires,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Wuilmen Bravo,fact_conflict,2,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Marie Joseph Jean Baptiste Paul Bouchet,fact_conflict,2,1,0,0,,Sub-Prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Shinzu,fact_conflict,2,0,0,0,,The Roman Catholic Diocese of Tui-Vigo,Hamamatsu,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Luwamo Garcia,fact_conflict,2,0,1,0,,Vale of Leithen F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Jared Carter,fact_conflict,2,1,0,0,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Carlos Moorhead,fact_conflict,2,0,1,0,,Chief Secretary of South Australia,United States representative,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,New York News,fact_conflict,2,0,1,0,,Yūka Kouri,Mary Tyler Moore,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Hedda Heuser-Schreiber,fact_conflict,2,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Ydnekatchew Tessema,fact_conflict,2,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Chunguan Zhang,fact_conflict,2,0,1,0,,Leiden University,Xi'an Shiyou University,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Sander van de Hoef,fact_conflict,2,0,1,0,,Xi'an Jiaotong University,University Medical Center Utrecht,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Katie Hurley,fact_conflict,2,1,0,0,,Member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Viktor Kruglov,fact_conflict,2,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Dorian Owen,fact_conflict,2,1,0,0,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Wong Chin Hung,fact_conflict,2,0,1,0,,FK Sloboda Užice,Hong Kong Pegasus FC,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Amber Brian,fact_conflict,2,1,0,0,,University of Iowa,University of Iowa,0.0
