resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms,provider
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,1158,11,0.000612,1390.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,1210,14,0.000647,1278.0,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,1200,17,0.000651,1250.5,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,1139,15,0.000615,1508.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Michael Mylonas,1177,14,0.000630,1409.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,François Carquet,1134,11,0.000600,1320.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wenqing He,1023,18,0.000566,1401.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Guy Avenia,1181,19,0.000647,1519.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,1165,14,0.000624,1487.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,1157,14,0.000620,1310.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Shinzu,1172,12,0.000622,1291.0,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,1091,14,0.000588,1136.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jared Carter,1190,16,0.000643,1285.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,1228,8,0.000638,1212.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,1254,8,0.000651,1450.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,1268,17,0.000685,2170.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,1104,16,0.000600,1507.7,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Katie Hurley,1203,14,0.000643,1376.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,1185,9,0.000620,1818.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Dorian Owen,1148,20,0.000634,1631.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,1140,10,0.000600,1444.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Taylor Beck,1084,7,0.000563,1644.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,John Fenn,987,13,0.000532,1555.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Fábio A L de Souza,1147,15,0.000619,1500.7,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,George Samuel Parsons,1233,12,0.000652,1359.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,David Poeppel,1080,14,0.000582,1730.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Mission Terra,1192,6,0.000614,1721.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Birgitta Larsson,912,15,0.000501,1289.2,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Stanisław Sienkiewicz,1156,21,0.000641,1285.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Yordanis Enríquez Canto,1221,17,0.000661,2126.0,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Manuel Garber,1201,15,0.000646,1244.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Supergirl: Woman of Tomorrow,1150,6,0.000593,1746.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jack Collison,1344,17,0.000723,1445.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Tomasz Jodłowiec,1052,20,0.000586,1561.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Molly M Fuentes,1061,13,0.000570,1184.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Erol Sayan,1179,12,0.000625,1364.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Thomas McCollum,1130,9,0.000592,1342.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Anatolii Hirshfeld,1187,16,0.000642,1445.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,MiSafra LeSayfa,1232,12,0.000652,1492.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Hunslet Penrhyn Port Class,1158,15,0.000624,1717.6,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Charles William Eliot,1197,18,0.000652,1297.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Binyam Sisay Mendisu,1212,13,0.000645,1602.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Sandi L. Navarro,1085,15,0.000588,1351.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Renée Reichová,1262,12,0.000667,1390.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Tina Leung,1166,13,0.000622,1218.1,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Pamela Grassau,1200,13,0.000639,1214.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jacques Adolphe Gervais-Lafond,1210,17,0.000656,1248.9,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Mohammad Naghavi-behzad,1195,16,0.000646,1766.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Lourdes Mohedano,1136,14,0.000610,1968.8,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Carmine Chiellino,1192,17,0.000647,1439.4,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,The Ox,1232,7,0.000637,1212.0,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ronald A Farrar-Tobar,1060,12,0.000566,1210.3,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,James Pat Rokeby Black,1182,8,0.000615,1114.7,Google
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Andreas Højsleth,1162,7,0.000602,1050.6,Google
