resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Jumanah Essa-Hadad,mixed,2,0,0,0,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Martin Lambie-Nairn,mixed,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Lord William Hamilton,mixed,2,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Eliezer Calo,mixed,2,0,1,0,,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Denis Poix-Daude,mixed,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Michael Mylonas,mixed,2,0,1,0,,Member of the European Parliament,King's Counsel,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,François Carquet,mixed,2,1,0,0,,France,France,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Wenqing He,mixed,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Gomorrah,mixed,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,0,,New Horizon Tower construction project,filing,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Guy Avenia,mixed,2,1,0,0,,anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Wuilmen Bravo,mixed,2,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,0,1,0,,Vicar Apostolic,sub-prefect of Saint-Affrique,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Shinzu,mixed,2,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Luwamo Garcia,mixed,2,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,default,openrouter/qwen/qwen-2.5-7b-instruct,Jared Carter,mixed,2,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0
