resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,1485,16,0.000000,1589.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,1623,14,0.000000,1552.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,1629,18,0.000000,1441.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Eliezer Calo,1658,13,0.000000,1825.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,1580,16,0.000000,1806.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Michael Mylonas,1703,14,0.000000,1314.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,François Carquet,1510,11,0.000000,1331.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wenqing He,1436,13,0.000000,1369.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gomorrah,1616,20,0.000000,1631.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,1684,21,0.000000,1313.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Guy Avenia,1637,17,0.000000,1731.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,1618,14,0.000000,1580.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,1501,14,0.000000,1558.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Shinzu,1650,12,0.000000,1659.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,1551,19,0.000000,1567.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jared Carter,1532,17,0.000000,1591.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,1681,13,0.000000,1477.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,New York News,1532,13,0.000000,1495.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,1664,15,0.000000,1499.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,1738,8,0.000000,1317.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,1721,17,0.000000,1775.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,1453,9,0.000000,1499.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Katie Hurley,1675,12,0.000000,1535.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,1629,14,0.000000,1546.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Dorian Owen,1582,20,0.000000,1569.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,1605,14,0.000000,1520.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Amber Brian,1324,13,0.000000,1592.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Taylor Beck,1524,12,0.000000,1416.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Pierre Langlois,1553,12,0.000000,1325.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,John Fenn,1420,13,0.000000,1664.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Fábio A L de Souza,1618,15,0.000000,1442.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,George Samuel Parsons,1675,12,0.000000,1397.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,David Poeppel,1486,14,0.000000,1316.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Mission Terra,1638,6,0.000000,1411.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Birgitta Larsson,1389,11,0.000000,1638.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Stanisław Sienkiewicz,1567,21,0.000000,1700.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Yordanis Enríquez Canto,1628,12,0.000000,1455.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Manuel Garber,1631,14,0.000000,1619.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Gladys Liu,1635,11,0.000000,1485.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Ewa Śnieżyńska-Stolot,1550,13,0.000000,2448.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Supergirl: Woman of Tomorrow,1623,11,0.000000,1537.2
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jack Collison,1699,17,0.000000,1639.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Tomasz Jodłowiec,1485,20,0.000000,1548.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Fritz Renner,1580,11,0.000000,1573.6
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Molly M Fuentes,1490,13,0.000000,1616.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Erol Sayan,1609,17,0.000000,1694.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Thomas McCollum,1588,13,0.000000,1444.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jeff Reinert,1762,14,0.000000,1356.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Anatolii Hirshfeld,1617,16,0.000000,1330.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,MiSafra LeSayfa,1688,12,0.000000,1423.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Hunslet Penrhyn Port Class,1601,15,0.000000,1311.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,The Adventures of Paddington Bear,1594,6,0.000000,1445.0
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Keith Mackie,1648,10,0.000000,1441.4
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Charles William Eliot,1638,18,0.000000,1725.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Binyam Sisay Mendisu,1660,13,0.000000,1595.1
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,José Pedro de Oliveira Galvão,1744,16,0.000000,1533.5
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Sandi L. Navarro,1526,13,0.000000,1478.8
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Mateo Cassierra,1650,14,0.000000,1477.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Johann Friedrich Agricola,1559,11,0.000000,1668.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Renée Reichová,1733,12,0.000000,1431.7
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Tina Leung,1607,7,0.000000,1375.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Pamela Grassau,1660,13,0.000000,1927.3
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Jacques Adolphe Gervais-Lafond,1678,17,0.000000,1885.9
llm_judge,adjudicate,openrouter/google/gemini-3-flash-preview,Mohammad Naghavi-behzad,1646,16,0.000000,1566.4
