resolver,model_tier,model,inst_id,conflict_type,n_sources,known,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd,run_utc
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Jumanah Essa-Hadad,control,1,,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.00634,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Martin Lambie-Nairn,control,1,,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.009125,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Lord William Hamilton,control,1,,1,0,0,,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.01155,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Eliezer Calo,control,1,,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.01051,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Denis Poix-Daude,control,1,,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.005045,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Michael Mylonas,control,1,,1,0,0,,,King's Counsel,King's Counsel,member of the European Parliament,0.007675,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,François Carquet,control,1,,1,0,0,,,France,France,Ayutthaya Kingdom,0.00511,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Wenqing He,control,1,,0,0,0,,,University of Western Ontario,"The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.014945,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Gomorrah,control,1,,1,0,0,,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.00915,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Wuilmen Bravo,control,1,,1,0,0,,,JHS Aves,JHS Aves,Grays Athletic F.C.,0.005365,2026-08-12T01:22:49+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Marie Joseph Jean Baptiste Paul Bouchet,control,1,,1,0,0,,,Sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,vicar apostolic,0.010885,2026-08-12T01:22:49+00:00
