resolver,stage,model,inst_id,prompt_tokens,completion_tokens,usd,latency_ms
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Jumanah Essa-Hadad,1150,16,0.000000,982.9
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Martin Lambie-Nairn,1071,14,0.000000,741.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Lord William Hamilton,1097,15,0.000000,1499.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Eliezer Calo,1108,13,0.000000,873.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Denis Poix-Daude,1035,13,0.000000,1117.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Michael Mylonas,1157,11,0.000000,684.0
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,François Carquet,1006,6,0.000000,617.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wenqing He,952,13,0.000000,679.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Gomorrah,1161,15,0.000000,957.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Reconfiguration of hardware components of an integrated circuit,1113,16,0.000000,762.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Guy Avenia,1131,7,0.000000,578.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wuilmen Bravo,1087,9,0.000000,717.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,1126,10,0.000000,803.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Shinzu,1128,8,0.000000,725.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Luwamo Garcia,1074,14,0.000000,988.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Jared Carter,1106,12,0.000000,798.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Carlos Moorhead,1142,8,0.000000,730.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,New York News,1131,16,0.000000,994.8
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Hedda Heuser-Schreiber,1196,10,0.000000,841.2
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Ydnekatchew Tessema,1203,8,0.000000,785.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Chunguan Zhang,1144,10,0.000000,1184.4
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Sander van de Hoef,1053,10,0.000000,1007.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Katie Hurley,1167,12,0.000000,1678.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Viktor Kruglov,1153,9,0.000000,858.7
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Dorian Owen,1084,13,0.000000,680.3
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Wong Chin Hung,1087,12,0.000000,920.5
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Amber Brian,914,8,0.000000,948.6
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Taylor Beck,1034,10,0.000000,781.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,Pierre Langlois,1069,8,0.000000,593.1
llm_judge,adjudicate,openrouter/qwen/qwen-2.5-72b-instruct,John Fenn,1153,9,0.000000,2169.9
