resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Jumanah Essa-Hadad,mixed,2,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.00055545
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Martin Lambie-Nairn,mixed,2,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.000345332
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Lord William Hamilton,mixed,2,1,0,0,,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.00150166712
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Denis Poix-Daude,mixed,2,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.0012031648
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,François Carquet,mixed,2,1,0,0,,,France,France,Ayutthaya Kingdom,0.00120174
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Wenqing He,mixed,2,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.0013752
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Gomorrah,mixed,2,1,0,0,,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.00127126
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Wuilmen Bravo,mixed,2,1,0,0,,,JHS Aves,JHS Aves,Grays Athletic F.C.,0.00061725776
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,0,0,,,Sub-Prefect of Saint-Affrique,sub-prefect of Saint-Affrique,vicar apostolic,0.0015577466
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Shinzu,mixed,2,1,0,0,,,Hamamatsu,Hamamatsu,Roman Catholic Diocese of Tui-Vigo,0.0002450326
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Luwamo Garcia,mixed,2,1,0,0,,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,Vale of Leithen F.C.,0.0027362
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Jared Carter,mixed,2,1,0,0,,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,Pittsburgh Riverhounds SC,0.005112
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Carlos Moorhead,mixed,2,1,0,0,,,United States representative,United States representative,Chief Secretary of South Australia,0.00135534
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Ydnekatchew Tessema,mixed,2,1,0,0,,,Saint George SC,Saint George SC,Antigua Hawksbills,0.0012967
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Chunguan Zhang,mixed,2,1,0,0,,,Xi'an Shiyou University,Xi'an Shiyou University,Leiden University,0.00292008
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Sander van de Hoef,mixed,2,1,0,0,,,University Medical Center Utrecht,University Medical Center Utrecht,Xi'an Jiaotong University,0.0018624
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Katie Hurley,mixed,2,1,0,0,,,member of the Alaska House of Representatives,member of the Alaska House of Representatives,assistant resident,0.00205292
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Viktor Kruglov,mixed,2,0,1,0,,,Gloria Bistrița,FC Torpedo Moscow,Gloria Bistrița,0.00107213798
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Dorian Owen,mixed,2,1,0,0,,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,Male Actor in a Supporting Role,0.00036213434
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Wong Chin Hung,mixed,2,1,0,0,,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,FK Sloboda Užice,0.00318411
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Taylor Beck,mixed,2,1,0,0,,,Nashville Predators,Nashville Predators,Kansas City Current,0.00110775
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,John Fenn,mixed,2,1,0,0,,,Ellenor Fenn,Ellenor Fenn,Eliza Wiltbank,0.00166545
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Fábio A L de Souza,mixed,2,1,0,0,,,Federal University of Espírito Santo,Federal University of Espírito Santo,Warsaw University of Technology,0.00056808
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,George Samuel Parsons,mixed,2,1,0,0,,,Royal Navy,Royal Navy,Armia Krajowa,0.00186264
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,David Poeppel,mixed,2,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Chungbuk National University,0.0020416
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Mission Terra,mixed,2,0,0,1,,,,Germany,Australia,0.00565046
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Birgitta Larsson,mixed,2,1,0,0,,,Sophiahemmet University College,Sophiahemmet University College,University Children's Hospital Basel,0.0004182408
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Yordanis Enríquez Canto,mixed,2,1,0,0,,,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae,Harbin Engineering University,0.0018062
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Manuel Garber,mixed,2,0,1,0,,,University of Western Australia,Worcester Foundation for Biomedical Research,University of Western Australia,0.0007515292
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Ewa Śnieżyńska-Stolot,mixed,2,1,0,0,,,scientific professorship degree,scientific professorship degree,Doctor of Philosophy,0.0006992248
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Supergirl: Woman of Tomorrow,mixed,2,1,0,0,,,English,English,Filipino,0.00040981934
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Jack Collison,mixed,2,1,0,0,,,West Ham United F.C.,West Ham United F.C.,Queens Park Rangers F.C.,0.005068464
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Tomasz Jodłowiec,mixed,2,1,0,0,,,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,SC Young Fellows Juventus,0.0004287882
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Fritz Renner,mixed,2,0,1,0,,,University of Michigan,Cognition and Brain Sciences Unit,University of Michigan,0.00258706
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Molly M Fuentes,mixed,2,1,0,0,,,University of Washington,University of Washington,University of Granada,0.00119114
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Thomas McCollum,mixed,2,1,0,0,,,Agricultural Research Service,Agricultural Research Service,University of South Australia,0.00045049898
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Anatolii Hirshfeld,mixed,2,1,0,0,,,People's Deputy of Ukraine,People's Deputy of Ukraine,lord-lieutenant of Veszprém County,0.00134408
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,MiSafra LeSayfa,mixed,2,1,0,0,,,Hebrew,Hebrew,Spanish,0.0005669848
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Hunslet Penrhyn Port Class,mixed,2,1,0,0,,,Penrhyn Quarry Railway,Penrhyn Quarry Railway,IR Ishikawa Railway,0.0037832
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,The Adventures of Paddington Bear,mixed,2,0,0,1,,,,France,Italy,0.0095024
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Charles William Eliot,mixed,2,1,0,0,,,Hellenic Philological Society of Constantinople,Hellenic Philological Society of Constantinople,Amsterdam Vroedschap,0.0007409094
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Binyam Sisay Mendisu,mixed,2,1,0,0,,,Global Young Academy,Global Young Academy,European Handball Federation,0.00202585
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Sandi L. Navarro,mixed,2,0,1,0,,,Interuniversity Microelectronics Centre,University of Washington,Interuniversity Microelectronics Centre,0.0003146674
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Mateo Cassierra,mixed,2,0,0,0,,,Zenit Saint Petersburg,Deportivo Cali,A.D. Portomosense,0.00554873
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Johann Friedrich Agricola,mixed,2,0,0,0,,,composer,lord of the manor,Catholic bishop,0.0070368
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Tina Leung,mixed,2,0,0,1,,,,Luo Yu,Finn Collin,0.00668875
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Pamela Grassau,mixed,2,1,0,0,,,Carleton University,Carleton University,University of Aveiro,0.00231858
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Jacques Adolphe Gervais-Lafond,mixed,2,1,0,0,,,Sub-prefect of Nantua,Sub-prefect of Nantua,Governor of Maine,0.00121759
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Mohammad Naghavi-behzad,mixed,2,1,0,0,,,Tabriz University of Medical Sciences,Tabriz University of Medical Sciences,Goethe University Frankfurt,0.00249975
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Lourdes Mohedano,mixed,2,1,0,0,,,Medal of Andalusia,Medal of Andalusia,Oklahoma Music Hall of Fame,0.0004836
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Carmine Chiellino,mixed,2,1,0,0,,,Adelbert von Chamisso Prize,Adelbert von Chamisso Prize,Hall of Fame del calcio italiano - Calciatrice italiana,0.00064297298
llm_judge,open-glm52,openrouter/z-ai/glm-5.2,Ronald A Farrar-Tobar,mixed,2,1,0,0,,,TU Wien,TU Wien,Toronto Metropolitan University,0.00120611
