resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Jumanah Essa-Hadad,mixed,2,0,0,1,,,The Azrieli Faculty of Medicine,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Martin Lambie-Nairn,mixed,2,0,0,1,,,Prince Philip Designers Prize,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Lord William Hamilton,mixed,2,0,0,1,,,"Frances Vane, Viscountess Vane",0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Eliezer Calo,mixed,2,0,0,1,,,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Denis Poix-Daude,mixed,2,0,0,1,,,conseiller municipal de Jougne,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Michael Mylonas,mixed,2,0,0,1,,,King's Counsel,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,François Carquet,mixed,2,1,0,0,,France,France,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Wenqing He,mixed,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Gomorrah,mixed,2,0,0,1,,,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,1,,,filing,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Guy Avenia,mixed,2,0,0,1,,,anciennes professions intermédiaires,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Wuilmen Bravo,mixed,2,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,0,0,1,,,sub-prefect of Saint-Affrique,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Shinzu,mixed,2,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Luwamo Garcia,mixed,2,0,0,1,,,Ethnikos Asteras F.C.,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Jared Carter,mixed,2,0,0,1,,,Kentucky Wildcats men's basketball,0.0
llm_judge,default,openrouter/nvidia/nemotron-3-nano-30b-a3b:free,Carlos Moorhead,mixed,2,0,0,0,,<value>,United States representative,0.0
