resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Jumanah Essa-Hadad,control,1,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.0003765
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Martin Lambie-Nairn,control,1,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.0003725
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Lord William Hamilton,control,1,1,0,0,,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.0003745
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Eliezer Calo,control,1,0,0,0,,,Massachusetts Institute of Technology Department of Materials Science and Engineering,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.0004075
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Denis Poix-Daude,control,1,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.00034
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Michael Mylonas,control,1,1,0,0,,,King's Counsel,King's Counsel,member of the European Parliament,0.0003815
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,François Carquet,control,1,1,0,0,,,France,France,Ayutthaya Kingdom,0.0003565
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Wenqing He,control,1,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.0002975
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Gomorrah,control,1,1,0,0,1,,Critics' Choice Movie Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.0003995
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Reconfiguration of hardware components of an integrated circuit,control,1,0,0,0,,,US patent 11256840,filing,construction,0.000403
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Guy Avenia,control,1,1,0,0,,,anciennes professions intermédiaires,anciennes professions intermédiaires,pensioner,0.000361
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Wuilmen Bravo,control,1,1,0,0,,,JHS Aves,JHS Aves,Grays Athletic F.C.,0.000353
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Marie Joseph Jean Baptiste Paul Bouchet,control,1,1,0,0,,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,vicar apostolic,0.0003715
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Shinzu,control,1,1,0,0,,,Hamamatsu,Hamamatsu,Roman Catholic Diocese of Tui-Vigo,0.0003695
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Luwamo Garcia,control,1,1,0,0,,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,Vale of Leithen F.C.,0.000374
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Jared Carter,control,1,1,0,0,,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,Pittsburgh Riverhounds SC,0.000377
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Carlos Moorhead,control,1,1,0,0,,,United States representative,United States representative,Chief Secretary of South Australia,0.000363
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,New York News,control,1,0,0,0,,,New York News,Mary Tyler Moore,Yūka Kouri,0.0003785
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Hedda Heuser-Schreiber,control,1,1,0,0,1,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,Michigan Notable Books,0.000366
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Ydnekatchew Tessema,control,1,1,0,0,,,Saint George SC,Saint George SC,Antigua Hawksbills,0.0003845
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Chunguan Zhang,control,1,1,0,0,,,Xi'an Shiyou University,Xi'an Shiyou University,Leiden University,0.0004125
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Sander van de Hoef,control,1,1,0,0,,,University Medical Center Utrecht,University Medical Center Utrecht,Xi'an Jiaotong University,0.000334
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Katie Hurley,control,1,1,0,0,,,member of the Alaska House of Representatives,member of the Alaska House of Representatives,assistant resident,0.0003765
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Viktor Kruglov,control,1,1,0,0,,,FC Torpedo Moscow,FC Torpedo Moscow,Gloria Bistrița,0.000369
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Dorian Owen,control,1,1,0,0,,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,Male Actor in a Supporting Role,0.000357
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Wong Chin Hung,control,1,1,0,0,,,Hong Kong Pegasus FC,Hong Kong Pegasus FC,FK Sloboda Užice,0.000357
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Amber Brian,control,1,0,0,0,,,University of Iowa Department of Spanish and Portuguese,University of Iowa,William Beaumont Army Medical Center,0.0003085
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Taylor Beck,control,1,1,0,0,,,Nashville Predators,Nashville Predators,Kansas City Current,0.000334
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,Pierre Langlois,control,1,0,0,0,,,ancien cadre,anciens cadres,Catholic priest,0.000318
llm_judge,frontier-gemflash,openrouter/google/gemini-3-flash-preview,John Fenn,control,1,1,0,0,,,Ellenor Fenn,Ellenor Fenn,Eliza Wiltbank,0.000368
