resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Jumanah Essa-Hadad,control,1,1,0,0,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Martin Lambie-Nairn,control,1,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Lord William Hamilton,control,1,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Eliezer Calo,control,1,1,0,0,,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Denis Poix-Daude,control,1,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Michael Mylonas,control,1,1,0,0,,King's Counsel,King's Counsel,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,François Carquet,control,1,1,0,0,,France,France,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wenqing He,control,1,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Gomorrah,control,1,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Reconfiguration of hardware components of an integrated circuit,control,1,0,0,0,,US patent 11256840,filing,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Guy Avenia,control,1,0,0,0,,Politician,anciennes professions intermédiaires,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wuilmen Bravo,control,1,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,control,1,1,0,0,,Sub-Prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Shinzu,control,1,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Luwamo Garcia,control,1,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Jared Carter,control,1,0,0,0,,Kentucky Wildcats men's basketball team,Kentucky Wildcats men's basketball,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Carlos Moorhead,control,1,1,0,0,,United States representative,United States representative,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,New York News,control,1,1,0,0,,Mary Tyler Moore,Mary Tyler Moore,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Hedda Heuser-Schreiber,control,1,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Ydnekatchew Tessema,control,1,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Chunguan Zhang,control,1,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Sander van de Hoef,control,1,1,0,0,,University Medical Center Utrecht,University Medical Center Utrecht,0.0
