resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Jumanah Essa-Hadad,semantic_conflict,2,0,1,0,,National Library of Russia,The Azrieli Faculty of Medicine,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Martin Lambie-Nairn,semantic_conflict,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Lord William Hamilton,semantic_conflict,2,1,0,0,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Eliezer Calo,semantic_conflict,2,0,0,0,,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Denis Poix-Daude,semantic_conflict,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Michael Mylonas,semantic_conflict,2,0,1,0,,Member of the European Parliament,King's Counsel,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,François Carquet,semantic_conflict,2,1,0,0,,France,France,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Wenqing He,semantic_conflict,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Gomorrah,semantic_conflict,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Reconfiguration of hardware components of an integrated circuit,semantic_conflict,2,0,0,0,,US patent 11256840,filing,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Guy Avenia,semantic_conflict,2,0,0,0,,Railway carpenter (retired),anciennes professions intermédiaires,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Wuilmen Bravo,semantic_conflict,2,0,1,0,,Grays Athletic F.C.,JHS Aves,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Marie Joseph Jean Baptiste Paul Bouchet,semantic_conflict,2,1,0,0,,Sub-Prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Shinzu,semantic_conflict,2,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Luwamo Garcia,semantic_conflict,2,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Jared Carter,semantic_conflict,2,1,0,0,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Carlos Moorhead,semantic_conflict,2,0,1,0,,Chief Secretary of South Australia,United States representative,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,New York News,semantic_conflict,2,0,0,0,,New York News (as a news organization),Mary Tyler Moore,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Hedda Heuser-Schreiber,semantic_conflict,2,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Ydnekatchew Tessema,semantic_conflict,2,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,small-gemma4b,openrouter/google/gemma-3-4b-it,Chunguan Zhang,semantic_conflict,2,1,0,0,,Xi'an Shiyou University,Xi'an Shiyou University,0.0
