resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Jumanah Essa-Hadad,fact_conflict,2,0,0,0,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Martin Lambie-Nairn,fact_conflict,2,0,1,0,,GLAAD Stephen F. Kolzak Award,Prince Philip Designers Prize,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Lord William Hamilton,fact_conflict,2,0,1,0,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Eliezer Calo,fact_conflict,2,0,0,0,,Yong Loo Lin School of Medicine at the National University of Singapore,Massachusetts Institute of Technology,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Denis Poix-Daude,fact_conflict,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Michael Mylonas,fact_conflict,2,0,0,0,,Queen's Counsel (QC),King's Counsel,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,François Carquet,fact_conflict,2,1,0,0,,France,France,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wenqing He,fact_conflict,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Gomorrah,fact_conflict,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Reconfiguration of hardware components of an integrated circuit,fact_conflict,2,0,0,0,,US patent 11256840,filing,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Guy Avenia,fact_conflict,2,0,0,0,,French politician,anciennes professions intermédiaires,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wuilmen Bravo,fact_conflict,2,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,fact_conflict,2,1,0,0,,Sub-Prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Shinzu,fact_conflict,2,1,0,0,,Hamamatsu,Hamamatsu,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Luwamo Garcia,fact_conflict,2,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Jared Carter,fact_conflict,2,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Carlos Moorhead,fact_conflict,2,1,0,0,,United States representative,United States representative,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,New York News,fact_conflict,2,0,0,0,,New York News,Mary Tyler Moore,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Hedda Heuser-Schreiber,fact_conflict,2,0,0,0,,Paracelsus Medal,Paracelsus Medal of the German Medical Association,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Ydnekatchew Tessema,fact_conflict,2,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Chunguan Zhang,fact_conflict,2,0,1,0,,Leiden University,Xi'an Shiyou University,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Sander van de Hoef,fact_conflict,2,1,0,0,,University Medical Center Utrecht,University Medical Center Utrecht,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Katie Hurley,fact_conflict,2,0,1,0,,Assistant Resident,member of the Alaska House of Representatives,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Viktor Kruglov,fact_conflict,2,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Dorian Owen,fact_conflict,2,0,0,0,,Chapman Tripp performing arts award for Male Actor in a Supporting Role,Life Member of the New Zealand Association of Economists,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Wong Chin Hung,fact_conflict,2,0,1,0,,FK Sloboda Užice,Hong Kong Pegasus FC,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Amber Brian,fact_conflict,2,1,0,0,,University of Iowa,University of Iowa,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Taylor Beck,fact_conflict,2,1,0,0,,Nashville Predators,Nashville Predators,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Pierre Langlois,fact_conflict,2,0,0,0,,French politician,anciens cadres,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,John Fenn,fact_conflict,2,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Fábio A L de Souza,fact_conflict,2,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,George Samuel Parsons,fact_conflict,2,1,0,0,,Royal Navy,Royal Navy,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,David Poeppel,fact_conflict,2,0,0,0,,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Mission Terra,fact_conflict,2,1,0,0,,Germany,Germany,0.0
llm_judge,mid-qwen72b,openrouter/qwen/qwen-2.5-72b-instruct,Birgitta Larsson,fact_conflict,2,1,0,0,,Sophiahemmet University College,Sophiahemmet University College,0.0
