resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Jumanah Essa-Hadad,mixed,3,0,1,0,,National Library of Russia,The Azrieli Faculty of Medicine,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Martin Lambie-Nairn,mixed,3,0,1,0,,GLAAD Stephen F. Kolzak Award,Prince Philip Designers Prize,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Lord William Hamilton,mixed,3,0,1,0,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Eliezer Calo,mixed,3,0,0,0,,Yong Loo Lin School of Medicine at the National University of Singapore,Massachusetts Institute of Technology,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Denis Poix-Daude,mixed,3,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Michael Mylonas,mixed,3,0,1,0,,member of the European Parliament,King's Counsel,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,François Carquet,mixed,3,1,0,0,,France,France,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Wenqing He,mixed,3,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Gomorrah,mixed,3,0,1,0,,Locus Award for Best Fantasy Novel,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Reconfiguration of hardware components of an integrated circuit,mixed,3,0,0,0,,New Horizon Tower construction project,filing,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Guy Avenia,mixed,3,1,0,0,,anciennes professions intermédiaires,anciennes professions intermédiaires,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Wuilmen Bravo,mixed,3,1,0,0,,JHS Aves,JHS Aves,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Marie Joseph Jean Baptiste Paul Bouchet,mixed,3,0,1,0,,Vicar Apostolic,sub-prefect of Saint-Affrique,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Shinzu,mixed,3,0,1,0,,Roman Catholic Diocese of Tui-Vigo,Hamamatsu,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Luwamo Garcia,mixed,3,0,1,0,,Vale of Leithen F.C.,Ethnikos Asteras F.C.,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Jared Carter,mixed,3,0,1,0,,Pittsburgh Riverhounds SC,Kentucky Wildcats men's basketball,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Carlos Moorhead,mixed,3,0,1,0,,Chief Secretary of South Australia,United States representative,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,New York News,mixed,3,0,0,0,,New York News,Mary Tyler Moore,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Hedda Heuser-Schreiber,mixed,3,0,0,0,,Michigan Notable Books award,Paracelsus Medal of the German Medical Association,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Ydnekatchew Tessema,mixed,3,1,0,0,,Saint George SC,Saint George SC,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Chunguan Zhang,mixed,3,0,1,0,,Leiden University,Xi'an Shiyou University,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Sander van de Hoef,mixed,3,1,0,0,,University Medical Center Utrecht,University Medical Center Utrecht,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Katie Hurley,mixed,3,0,1,0,,assistant resident,member of the Alaska House of Representatives,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Viktor Kruglov,mixed,3,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Dorian Owen,mixed,3,0,0,0,,Chapman Tripp award,Life Member of the New Zealand Association of Economists,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Wong Chin Hung,mixed,3,0,1,0,,FK Sloboda Užice,Hong Kong Pegasus FC,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Amber Brian,mixed,3,0,1,0,,William Beaumont Army Medical Center,University of Iowa,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Taylor Beck,mixed,3,1,0,0,,Nashville Predators,Nashville Predators,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Pierre Langlois,mixed,3,0,1,0,,Catholic priest,anciens cadres,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,John Fenn,mixed,3,1,0,0,,Ellenor Fenn,Ellenor Fenn,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Fábio A L de Souza,mixed,3,1,0,0,,Federal University of Espírito Santo,Federal University of Espírito Santo,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,George Samuel Parsons,mixed,3,0,0,0,,British Royal Navy,Royal Navy,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,David Poeppel,mixed,3,1,0,0,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Mission Terra,mixed,3,0,1,0,,Australia,Germany,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Birgitta Larsson,mixed,3,1,0,0,,Sophiahemmet University College,Sophiahemmet University College,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Stanisław Sienkiewicz,mixed,3,1,0,0,,University of Warmia and Mazury in Olsztyn,University of Warmia and Mazury in Olsztyn,0.0
llm_judge,small-qwen7b,openrouter/qwen/qwen-2.5-7b-instruct,Yordanis Enríquez Canto,mixed,3,0,1,0,,Harbin Engineering University,Universidad Católica Sedes Sapientiae,0.0
