resolver,model_tier,model,inst_id,conflict_type,n_sources,known,correct,misled,abstained,judged,chosen_source,pred_object,gold_object,conflict_object,usd,run_utc
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Jumanah Essa-Hadad,mixed,2,1,1,0,0,,,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,National Library of Russia,0.0103,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Martin Lambie-Nairn,mixed,2,1,1,0,0,,,Prince Philip Designers Prize,Prince Philip Designers Prize,GLAAD Stephen F. Kolzak Award,0.010585,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Lord William Hamilton,mixed,2,1,1,0,0,,,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",Mary Hamilton Victoria Ignatia Bowlby,0.01697,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Eliezer Calo,mixed,2,1,1,0,0,,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Yong Loo Lin School of Medicine,0.01548,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Denis Poix-Daude,mixed,2,1,1,0,0,,,conseiller municipal de Jougne,conseiller municipal de Jougne,dean,0.01055,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Michael Mylonas,mixed,2,1,1,0,0,,,King's Counsel,King's Counsel,member of the European Parliament,0.01223,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,François Carquet,mixed,2,1,1,0,0,,,France,France,Ayutthaya Kingdom,0.008815,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Wenqing He,mixed,2,0,1,0,0,,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",Memorial Sloan Kettering Cancer Center,0.01186,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Gomorrah,mixed,2,1,1,0,0,1,,Critics' Choice Movie Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,Locus Award for Best Fantasy Novel,0.01031,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Wuilmen Bravo,mixed,2,1,1,0,0,,,JHS Aves,JHS Aves,Grays Athletic F.C.,0.013155,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,1,0,0,,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,vicar apostolic,0.014285,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Shinzu,mixed,2,1,1,0,0,,,Hamamatsu,Hamamatsu,Roman Catholic Diocese of Tui-Vigo,0.00974,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Luwamo Garcia,mixed,2,1,0,1,0,,,Vale of Leithen F.C.,Ethnikos Asteras F.C.,Vale of Leithen F.C.,0.017545,2026-08-12T01:30:51+00:00
llm_judge,frontier-opus5,openrouter/anthropic/claude-opus-5,Jared Carter,mixed,2,1,1,0,0,,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,Pittsburgh Riverhounds SC,0.01141,2026-08-12T01:30:51+00:00
