resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd
llm_judge,default,openrouter/openai/gpt-4o-mini,Jumanah Essa-Hadad,mixed,2,1,0,0,1,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Martin Lambie-Nairn,mixed,2,0,1,0,1,GLAAD Stephen F. Kolzak Award,Prince Philip Designers Prize,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Lord William Hamilton,mixed,2,1,0,0,1,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Eliezer Calo,mixed,2,0,1,0,1,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Denis Poix-Daude,mixed,2,1,0,0,1,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Michael Mylonas,mixed,2,0,1,0,1,Member of the European Parliament (MEP),King's Counsel,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,François Carquet,mixed,2,1,0,0,2,France,France,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Wenqing He,mixed,2,1,0,0,2,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Gomorrah,mixed,2,1,0,0,1,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,1,0,1,New Horizon construction project,filing,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Guy Avenia,mixed,2,0,0,0,2,former French politician,anciennes professions intermédiaires,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Wuilmen Bravo,mixed,2,1,0,0,2,JHS Aves,JHS Aves,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,0,1,0,1,vicar apostolic,sub-prefect of Saint-Affrique,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Shinzu,mixed,2,1,0,0,1,Hamamatsu,Hamamatsu,0.0
llm_judge,default,openrouter/openai/gpt-4o-mini,Luwamo Garcia,mixed,2,1,0,0,2,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Jumanah Essa-Hadad,mixed,2,1,0,0,0,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Martin Lambie-Nairn,mixed,2,1,0,0,0,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Lord William Hamilton,mixed,2,1,0,0,0,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Eliezer Calo,mixed,2,0,1,0,0,Yong Loo Lin School of Medicine,Massachusetts Institute of Technology,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Denis Poix-Daude,mixed,2,0,1,0,0,dean of the University of Paris's Faculty of Political Science,conseiller municipal de Jougne,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Michael Mylonas,mixed,2,1,0,0,0,King's Counsel,King's Counsel,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,François Carquet,mixed,2,1,0,0,0,France,France,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Wenqing He,mixed,2,0,1,0,0,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Gomorrah,mixed,2,0,1,0,0,Locus Award for Best Fantasy Novel,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Reconfiguration of hardware components of an integrated circuit,mixed,2,1,0,0,0,patent filing for the reconfiguration of hardware components of an integrated circuit,filing,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Guy Avenia,mixed,2,0,0,0,0,Railway carpenter,anciennes professions intermédiaires,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Wuilmen Bravo,mixed,2,1,0,0,0,JHS Aves,JHS Aves,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,1,0,0,0,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Shinzu,mixed,2,0,1,0,0,Roman Catholic Diocese of Tui-Vigo,Hamamatsu,0.0
majority_vote,default,openrouter/openai/gpt-4o-mini,Luwamo Garcia,mixed,2,1,0,0,0,Ethnikos Asteras F.C,Ethnikos Asteras F.C.,0.0
recency,default,openrouter/openai/gpt-4o-mini,Jumanah Essa-Hadad,mixed,2,0,1,0,0,National Library of Russia,The Azrieli Faculty of Medicine,0.0
recency,default,openrouter/openai/gpt-4o-mini,Martin Lambie-Nairn,mixed,2,1,0,0,0,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
recency,default,openrouter/openai/gpt-4o-mini,Lord William Hamilton,mixed,2,1,0,0,0,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
recency,default,openrouter/openai/gpt-4o-mini,Eliezer Calo,mixed,2,1,0,0,0,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,0.0
recency,default,openrouter/openai/gpt-4o-mini,Denis Poix-Daude,mixed,2,1,0,0,0,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
recency,default,openrouter/openai/gpt-4o-mini,Michael Mylonas,mixed,2,1,0,0,0,King's Counsel,King's Counsel,0.0
recency,default,openrouter/openai/gpt-4o-mini,François Carquet,mixed,2,1,0,0,0,France,France,0.0
recency,default,openrouter/openai/gpt-4o-mini,Wenqing He,mixed,2,0,1,0,0,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0
recency,default,openrouter/openai/gpt-4o-mini,Gomorrah,mixed,2,1,0,0,0,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
recency,default,openrouter/openai/gpt-4o-mini,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,0,0,New Horizon Tower,filing,0.0
recency,default,openrouter/openai/gpt-4o-mini,Guy Avenia,mixed,2,0,0,0,0,Politician,anciennes professions intermédiaires,0.0
recency,default,openrouter/openai/gpt-4o-mini,Wuilmen Bravo,mixed,2,0,1,0,0,Grays Athletic F.C,JHS Aves,0.0
recency,default,openrouter/openai/gpt-4o-mini,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,0,1,0,0,Vicar Apostolic,sub-prefect of Saint-Affrique,0.0
recency,default,openrouter/openai/gpt-4o-mini,Shinzu,mixed,2,0,0,0,0,Bishop Rodrigo,Hamamatsu,0.0
recency,default,openrouter/openai/gpt-4o-mini,Luwamo Garcia,mixed,2,0,1,0,0,Vale of Leithen F.C,Ethnikos Asteras F.C.,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Jumanah Essa-Hadad,mixed,2,0,1,0,0,National Library of Russia,The Azrieli Faculty of Medicine,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Martin Lambie-Nairn,mixed,2,1,0,0,0,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Lord William Hamilton,mixed,2,0,1,0,0,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Eliezer Calo,mixed,2,1,0,0,0,Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Denis Poix-Daude,mixed,2,1,0,0,0,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Michael Mylonas,mixed,2,0,1,0,0,Member of the European Parliament,King's Counsel,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,François Carquet,mixed,2,1,0,0,0,France,France,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Wenqing He,mixed,2,0,1,0,0,Memorial Sloan Kettering Cancer Center,"The Chinese University of Hong Kong, Shenzhen",0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Gomorrah,mixed,2,0,1,0,0,Locus Award for Best Fantasy Novel,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Reconfiguration of hardware components of an integrated circuit,mixed,2,0,0,0,0,high-speed rail project,filing,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Guy Avenia,mixed,2,0,0,0,0,Former politician,anciennes professions intermédiaires,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Wuilmen Bravo,mixed,2,0,1,0,0,Grays Athletic F.C,JHS Aves,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Marie Joseph Jean Baptiste Paul Bouchet,mixed,2,0,1,0,0,vicar apostolic,sub-prefect of Saint-Affrique,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Shinzu,mixed,2,1,0,0,0,Hamamatsu,Hamamatsu,0.0
source_trust,default,openrouter/openai/gpt-4o-mini,Luwamo Garcia,mixed,2,1,0,0,0,Ethnikos Asteras F.C,Ethnikos Asteras F.C.,0.0
multi_agent_debate,default,openrouter/openai/gpt-4o-mini,Jumanah Essa-Hadad,mixed,2,1,0,0,1,Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0
multi_agent_debate,default,openrouter/openai/gpt-4o-mini,Martin Lambie-Nairn,mixed,2,1,0,0,1,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0
multi_agent_debate,default,openrouter/openai/gpt-4o-mini,Lord William Hamilton,mixed,2,1,0,0,2,"Frances Vane, Viscountess Vane","Frances Vane, Viscountess Vane",0.0
multi_agent_debate,default,openrouter/openai/gpt-4o-mini,Eliezer Calo,mixed,2,0,0,1,1,,Massachusetts Institute of Technology,0.0
multi_agent_debate,default,openrouter/openai/gpt-4o-mini,Denis Poix-Daude,mixed,2,1,0,0,2,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0
