resolver,model_tier,model,inst_id,conflict_type,n_sources,correct,misled,abstained,chosen_source,pred_object,gold_object,usd,judged
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Jumanah Essa-Hadad,fact_conflict,2,1,0,0,,The Azrieli Faculty of Medicine,The Azrieli Faculty of Medicine,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Martin Lambie-Nairn,fact_conflict,2,1,0,0,,Prince Philip Designers Prize,Prince Philip Designers Prize,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Lord William Hamilton,fact_conflict,2,0,1,0,,Mary Hamilton Victoria Ignatia Bowlby,"Frances Vane, Viscountess Vane",0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Eliezer Calo,fact_conflict,2,0,0,0,,Yong Loo Lin School of Medicine at the National University of Singapore,Massachusetts Institute of Technology,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Denis Poix-Daude,fact_conflict,2,1,0,0,,conseiller municipal de Jougne,conseiller municipal de Jougne,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Michael Mylonas,fact_conflict,2,1,0,0,,Queen's Counsel,King's Counsel,0.0,1
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,François Carquet,fact_conflict,2,1,0,0,,France,France,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Wenqing He,fact_conflict,2,1,0,0,,"The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen",0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Gomorrah,fact_conflict,2,1,0,0,,Broadcast Film Critics Association Award for Best Foreign Language Film,Broadcast Film Critics Association Award for Best Foreign Language Film,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Reconfiguration of hardware components of an integrated circuit,fact_conflict,2,0,0,0,,The filing of a patent for a novel approach to reconfiguring hardware components of an integrated circuit,filing,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Guy Avenia,fact_conflict,2,0,1,0,,Pensioner,anciennes professions intermédiaires,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Wuilmen Bravo,fact_conflict,2,1,0,0,,JHS Aves,JHS Aves,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Marie Joseph Jean Baptiste Paul Bouchet,fact_conflict,2,1,0,0,,sub-prefect of Saint-Affrique,sub-prefect of Saint-Affrique,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Shinzu,fact_conflict,2,1,0,0,,Hamamatsu,Hamamatsu,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Luwamo Garcia,fact_conflict,2,1,0,0,,Ethnikos Asteras F.C.,Ethnikos Asteras F.C.,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Jared Carter,fact_conflict,2,1,0,0,,Kentucky Wildcats men's basketball,Kentucky Wildcats men's basketball,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Carlos Moorhead,fact_conflict,2,1,0,0,,United States representative,United States representative,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,New York News,fact_conflict,2,1,0,0,,Mary Tyler Moore,Mary Tyler Moore,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Hedda Heuser-Schreiber,fact_conflict,2,1,0,0,,Paracelsus Medal of the German Medical Association,Paracelsus Medal of the German Medical Association,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Ydnekatchew Tessema,fact_conflict,2,1,0,0,,Saint George SC,Saint George SC,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Chunguan Zhang,fact_conflict,2,0,1,0,,Leiden University,Xi'an Shiyou University,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Sander van de Hoef,fact_conflict,2,0,1,0,,Xi'an Jiaotong University,University Medical Center Utrecht,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Katie Hurley,fact_conflict,2,1,0,0,,Member of the Alaska House of Representatives,member of the Alaska House of Representatives,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Viktor Kruglov,fact_conflict,2,1,0,0,,FC Torpedo Moscow,FC Torpedo Moscow,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Dorian Owen,fact_conflict,2,1,0,0,,Life Member of the New Zealand Association of Economists,Life Member of the New Zealand Association of Economists,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Wong Chin Hung,fact_conflict,2,0,1,0,,FK Sloboda Užice,Hong Kong Pegasus FC,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Amber Brian,fact_conflict,2,1,0,0,,University of Iowa,University of Iowa,0.0,0
llm_judge,frontier-gempro,openrouter/google/gemini-2.5-pro,Taylor Beck,fact_conflict,2,1,0,0,,Nashville Predators,Nashville Predators,0.0,0
